"","observed","chao1","diversity_inverse_simpson","diversity_gini_simpson","diversity_shannon","diversity_fisher","diversity_coverage","evenness_camargo","evenness_pielou","evenness_simpson","evenness_evar","evenness_bulla","dominance_dbp","dominance_dmn","dominance_absolute","dominance_relative","dominance_simpson","dominance_core_abundance","dominance_gini","rarity_log_modulo_skewness","rarity_low_abundance","rarity_rare_abundance"
"NIOZ140.14",12470,13705.9002773575,789.035195479384,0.998732629411553,7.98001887920319,3812.11747923321,409,0.882262607837611,0.846140420857321,0.06327467485801,0.47156780172092,0.413543619333755,0.00885047357797215,0.016500181150044,855,0.00885047357797215,0.00126737058844687,0.00342632368925004,0.966592793914515,2.06142303617716,0.796666839190518,0.978313751876197
"NIOZ140.101",10624,20052.7087329632,209.056971559301,0.995216614913431,6.8475929502788,3205.23882437515,85,0.860015253649317,0.738613776961299,0.0196778022928559,0.469865845091546,0.286908815470718,0.020465324279477,0.0386946441810928,1739,0.020465324279477,0.00478338508656881,0.122250597248538,0.981772463185735,2.06142303617716,0.514940039777341,0.678745013121815
"NIOZ140.112",9050,17556.2540089801,266.857490364365,0.996252681539369,7.04650570698695,2779.53022075426,143,0.912190154760359,0.773447144466628,0.0294870155098746,0.437050009870152,0.31226932678767,0.0211587555709402,0.0382213376025846,1467,0.0211587555709402,0.00374731846063083,0.0494425453968529,0.982782103017257,2.06142303617716,0.606868302251453,0.75327765998875
"NIOZ140.95",26166,35061.1090714395,145.509732127621,0.993127607443309,7.13205918120562,6920.17306259431,91,NA,0.701131305617279,0.00556102316470309,0.45719206175652,0.270491376458077,0.0410202471732843,0.0737879002407007,12168,0.0410202471732843,0.00687239255669124,0.101552755247207,0.96150918382591,2.06142249845499,0.546124179965884,0.686290175772164
"NIOZ140.67",2000,4202.64820359281,31.6619777979759,0.968416376058986,4.91970169118407,546.786426781074,14,0.918379296988477,0.647252312126166,0.015830988898988,0.427334303598287,0.2404095433986,0.128207611116491,0.186743487944224,2648,0.128207611116491,0.0315836239410138,0.340273070591653,0.997293763858323,2.06142269517123,0.259465478841871,0.551999612665827
"NIOZ140.122",17736,33040.15129683,79.341170044523,0.987396203012398,6.98453329460037,5301.7444900994,97,NA,0.713920287459257,0.00447345343056625,0.483404906397704,0.299947648975905,0.0930009785949582,0.131228205587639,13495,0.0930009785949582,0.0126037969876023,0.028875442779761,0.969410831292407,2.06142298975364,0.541259493060246,0.812282055876394
"NIOZ140.86",3833,6448.81315789474,21.7746910094087,0.95407512329025,5.11391595822903,1038.07355913992,14,0.941763676822972,0.619763198780688,0.0056808481631643,0.464475875530676,0.252939901333462,0.174345343571569,0.267006300452845,7084,0.174345343571569,0.0459248767097501,0.355926363457373,0.994709425113399,2.06142285432445,0.341627288836385,0.535316991533767
"NIOZ140.80",1627,3353.63307984791,10.0859686185366,0.900852358576435,3.98646592060847,394.130191981193,5,0.94329059881996,0.539112805003035,0.00619912023265927,0.409061465052567,0.195523705912314,0.264242676085601,0.415956783710783,6359,0.264242676085601,0.099147641423565,0.529898192395595,0.998392818369922,2.0614220256325,0.197257427799709,0.392561811759817
"NIOZ140.107",7182,14610.0634648371,138.317542535449,0.992770259059918,6.31145295030215,1854.31871832094,61,0.914510105482202,0.710802582363313,0.0192589170893134,0.377689311446293,0.237315580751788,0.034526590628006,0.0622509275800467,3015,0.034526590628006,0.00722974094008152,0.121822179469562,0.990784393793263,2.06142279820642,0.470638083459301,0.634751042096102
"NIOZ140.118",7723,16679.1317340067,259.829998716541,0.996151329696572,7.03605700783021,2416.47123018348,162,0.890315844555247,0.785979656667088,0.0336436616232735,0.423919880977834,0.32094990746188,0.0281839372748464,0.0492689129052765,1596,0.0281839372748464,0.00384867030342767,0.0810199901108992,0.984608360484913,2.06142303617716,0.636222363495091,0.745655859292223
"NIOZ140.100",9021,16477.2426470588,61.8577756447814,0.983833883621317,6.26780336489389,2594.17359721486,53,0.899250938168951,0.68821672264279,0.00685708631468589,0.46600659401863,0.270243899170044,0.0889377595400152,0.134911664250436,7239,0.0889377595400152,0.016166116378683,0.139064304494189,0.985964935743596,2.06142287065602,0.492087868884684,0.543148143597808
"NIOZ140.61",1643,3166.42407407407,10.5508772629263,0.905221151276794,3.61922487137512,360.586280937288,4,0.844508904981815,0.488801787949683,0.00642171470658935,0.415284168953578,0.148629196572551,0.236346516007533,0.355726224105461,8032,0.236346516007533,0.0947788487232055,0.636358286252354,0.998811530291704,2.0614144959402,0.139889359698682,0.279337335216573
"NIOZ140.93",8962,19878.6333104866,51.4566892149358,0.980566180699598,6.3530465987609,3119.20001138422,44,0.896789973927314,0.698079554928233,0.00574165244531754,0.577118443867901,0.328541911486636,0.108490656628704,0.153661487641399,5649,0.108490656628704,0.0194338193004019,0.115058864199428,0.981244834737822,2.06142300292939,0.472027501968542,0.558086385373255
"NIOZ140.63",3754,7132.08370702541,80.372829886688,0.98755798444064,5.89982205183606,1103.19747943819,33,0.93036669187549,0.716817532498836,0.0214099173912328,0.437542746723076,0.295869964038546,0.0543264580147908,0.106281399194932,1741,0.0543264580147908,0.0124420155593604,0.261646956033326,0.993589992260524,2.06142303617716,0.420382563110432,0.56532592754392
"NIOZ140.66",953,1949.24705882353,4.26021755149975,0.765270203243972,2.99237454670941,248.556989577371,2,0.974792860458625,0.436230690605581,0.00447032271930718,0.527938012456838,0.192584003729515,0.453680654338549,0.610864153627312,5103,0.453680654338549,0.234729796756028,0.718172119487909,0.998984129947694,2.06142153313804,0.168830014224751,0.237553342816501
"NIOZ140.64",2827,4237.94140625,7.33105281870847,0.863593944181107,3.55016253784862,562.858762918492,4,0.906519210041051,0.446731512931861,0.00259322703173274,0.399382251809454,0.147711914843519,0.340174363807729,0.422290292177191,28874,0.340174363807729,0.136406055818893,0.610838831291235,0.99825554821399,2.06142141659578,0.155089538171536,0.294604147031103
"NIOZ140.115",3326,6738.83396226415,51.4767431780297,0.980573751596103,5.52686749978463,873.183630725396,33,0.932366590515336,0.681527839194611,0.0154770725129374,0.387649524766499,0.242691789451819,0.0906163992314483,0.147504803448097,3490,0.0906163992314483,0.0194262484038967,0.204133561821675,0.995550996441779,2.06142254289085,0.330658981149712,0.692423534299216
"NIOZ140.111",5592,9772.54395604396,33.092384202547,0.969781566843919,5.35388619473347,1325.03356586538,21,0.956633286263412,0.62044604676603,0.0059178083337888,0.388347670149111,0.21044276650105,0.128446975665759,0.193154447020687,11412,0.128446975665759,0.0302184331560805,0.0847196272201337,0.994254758557361,2.06142244477139,0.321680210701664,0.53396888998942
"NIOZ140.96",10495,17543.1317192359,182.819680728967,0.994530129382063,6.90602099811568,3296.88829730131,106,0.891872425127355,0.745899007013017,0.0174196932566905,0.500672556995713,0.304460172432956,0.0296281723391698,0.0543379893763525,2259,0.0296281723391698,0.00546987061793701,0.136782739851794,0.980160155599606,2.06142302380029,0.558712046691586,0.687389337005705
"NIOZ140.73",1634,3750.23359073359,18.6922544968439,0.946501905365731,4.65942469653416,554.997137453161,6,0.811515128786149,0.629755276485493,0.0114395682355226,0.575679364429664,0.314189217568878,0.124261540002003,0.242014619004706,1241,0.124261540002003,0.0534980946342692,0.57274456793832,0.996771190608513,2.06142303617716,0.327826174026234,0.373285270852108
"NIOZ140.104",8999,17920.1524678837,47.914891579802,0.979129661634849,6.20186650837969,2542.71116412051,49,0.83088220744961,0.681159353982924,0.00532446844980575,0.448071023303167,0.272584502409155,0.113089707248797,0.172910222180402,9615,0.113089707248797,0.0208703383651512,0.0744286705637431,0.986336521537169,2.0614229877561,0.474423965843733,0.594100281107021
"NIOZ140.94",6699,14900.0095419847,22.2466580809053,0.955049428261842,5.33537708994211,1990.68178051131,13,0.943242505092547,0.605624356048504,0.00332089238407305,0.551453424389436,0.260267658451687,0.179783159825233,0.253034144236474,9999,0.179783159825233,0.0449505717381576,0.282575471528489,0.989932866206914,2.06142297666451,0.341406404516605,0.392883470881205
"NIOZ140.99",2479,5611.69605263158,16.5403751032533,0.939541878962388,5.60411062247528,992.512795994352,52,0.752377344820692,0.717040671295575,0.00667219649183272,0.590974458342725,0.409838354231172,0.23674464817993,0.281817360672026,2621,0.23674464817993,0.0604581210376124,0.320386595610153,0.993120647791045,2.06142281425019,0.515852226537801,0.614578628850149
"NIOZ140.85",4214,8083.2222972973,59.3496292607829,0.98315069508512,5.58619438267682,1139.33925391776,22,0.942270387396965,0.669312510145252,0.0140839177173192,0.429364228855761,0.249442441224678,0.0587108130389252,0.114168579131481,2635,0.0587108130389252,0.0168493049148797,0.257636861923754,0.994254423083646,2.06142234465789,0.361021367616586,0.576435462667944
"NIOZ140.91",578,1544.24038461538,29.6989092892931,0.966328729777274,4.83584062191223,188.703463489154,22,0.997931788589228,0.760403247414714,0.0513821960022371,0.423199027278942,0.398573883842515,0.147609147609148,0.22531185031185,568,0.147609147609148,0.0336712702227255,0.321465696465696,0.998557139426779,2.06142303617716,0.237785862785863,0.604209979209979
"NIOZ140.120",5500,11531.5550510783,193.216523677371,0.9948244592079,6.44786876216858,1482.70779882051,96,0.957642745760259,0.748663714166394,0.0351302770322493,0.367639882581177,0.251070329467363,0.0313933995969995,0.0594002404456711,1854,0.0313933995969995,0.00517554079210006,0.0650388607616371,0.991896411300559,2.06142303617716,0.449464077078077,0.807406403982593
"NIOZ140.98",2548,6807.84,114.824567727792,0.991291062358966,6.03918071487802,858.457595925802,57,0.962127889333235,0.770002731333709,0.0450645870203267,0.451461691914713,0.331336610534053,0.0439310736602916,0.084011866439437,696,0.0439310736602916,0.00870893764103375,0.120116139620021,0.994490977582927,2.06142303617716,0.428454206905258,0.593637568642303
"NIOZ140.82",4614,7051.31335830212,6.65383282416019,0.849710681583556,3.7383757420823,923.913842475464,2,0.946426079877918,0.443100866754656,0.00144209640749029,0.378384121034537,0.167312163680541,0.337571007512576,0.51491065426636,45698,0.337571007512576,0.150289318416444,0.605342276524861,0.996927654392749,2.06142229815444,0.209007704638296,0.318837582088009
"NIOZ140.75",2115,3457.68781094527,11.7256844205849,0.914717131714337,3.57506565717777,460.936476573876,4,0.845833126536814,0.466913194197632,0.00554405882769973,0.453241750071469,0.155009668422958,0.176688210385558,0.307666592377981,7928,0.176688210385558,0.0852828682856633,0.617673278359706,0.998452131900748,2.06141740367039,0.17189659014932,0.278783151326053
"NIOZ140.71",6585,8429.27344309234,7.69008245866739,0.869962382669524,3.57841317007659,1152.87873579415,3,NA,0.40698242570126,0.0011678181410277,0.335594339426578,0.13522331957701,0.290370110305015,0.458765838539703,100901,0.290370110305015,0.130037617330477,0.704303133030784,0.997006848240773,2.06142248674577,0.195274122207482,0.220702118903799
"NIOZ140.119",2001,4729.37656903766,104.836102333165,0.990461301233596,5.44837235791743,451.026142870257,40,0.975700142917148,0.716758845026428,0.0523918552389631,0.27297711547698,0.225562106605051,0.0352959923512071,0.0681220619870927,1329,0.0352959923512071,0.00953869876640433,0.10684407616923,0.997655310751895,2.06142303617716,0.230048070538868,0.712984357156136
"NIOZ140.70",2565,4191.77419354839,9.36239214566329,0.893189690792518,3.77654694722555,540.868537216877,4,0.873859541355647,0.481106326146836,0.00365005541741259,0.398566925705496,0.156649575739127,0.270715447154472,0.41539837398374,16649,0.270715447154472,0.106810309207482,0.621512195121951,0.99820504108331,2.06142064364865,0.183105691056911,0.301756097560976
"NIOZ140.88",1201,2424.34246575342,7.94697881812317,0.87416601668555,3.35810339437284,333.299487685328,3,0.764377856909376,0.473578634989297,0.00661696820826242,0.591710437291361,0.213264810459712,0.233411725180581,0.419200403158072,2779,0.233411725180581,0.12583398331445,0.757013270619856,0.998514461465234,2.06141924735127,0.214849655635814,0.228120275491349
"NIOZ140.76",538,1374.17361111111,16.1578198408496,0.938110462311763,4.01533383299193,166.42610164989,5,0.998527506724845,0.638585266283188,0.0300331223807614,0.460546565059661,0.290200393028433,0.144126357354393,0.266781836130306,584,0.144126357354393,0.0618895376882365,0.415597235932873,0.999053622363725,2.06142303617716,0.199160908193485,0.490375123395854
"NIOZ140.79",2607,4170.75903614458,8.10125795265058,0.876562380084093,3.56590269186853,554.599745454057,4,0.858156024049486,0.453333702547055,0.00310750209154222,0.432153598329945,0.156165199154677,0.303039825350622,0.41800079386081,18323,0.303039825350622,0.123437619915907,0.666760386345594,0.998188011283844,2.06142170275063,0.172912807621064,0.26336332363059
"NIOZ140.68",912,1760.89473684211,4.0628149105604,0.753865233338413,2.73254828702602,203.314253575971,2,0.940056819858257,0.400923213521467,0.00445484091070219,0.437989061570798,0.160753034168106,0.458795829128826,0.627648839556004,8184,0.458795829128826,0.246134766661587,0.754120417087117,0.999320040380596,2.06141981460733,0.136954815562283,0.224576746272004
"NIOZ140.84",1396,3076.80597014925,9.37907433162701,0.893379670035462,3.73200631175923,327.543159355209,4,0.876425489865302,0.515373227336181,0.00671853462150932,0.401346388217118,0.187339675227802,0.270676035438397,0.410160171081919,6202,0.270676035438397,0.106620329964538,0.634225112381617,0.998738020898557,2.06142166304255,0.179766944529306,0.289311744424563
"NIOZ140.113",1005,2157.12244897959,18.026563402157,0.944526309441746,3.86830051483551,230.816917146183,6,0.988406831912872,0.55958982060894,0.0179368790071214,0.38063700487055,0.174149728514578,0.124055060363308,0.244273947873181,2199,0.124055060363308,0.0554736905582539,0.214035879499041,0.999114900016018,2.06141762295326,0.1437436533905,0.702583775245402
"NIOZ140.81",1714,3284.9696969697,7.89759152627499,0.873379118599254,3.96870489842343,475.962639538498,4,0.901328762009373,0.532956361281942,0.00460769633971703,0.518708559003056,0.246618589086738,0.327418499086247,0.426339680481047,5554,0.327418499086247,0.126620881400746,0.599127512822024,0.997671557432113,2.06142257182118,0.249778930613689,0.329481813358486
"NIOZ140.74",2913,5841.00402414487,26.6176353191377,0.962430922656716,5.12915814208238,855.744728035403,14,0.844348128676579,0.642998310298857,0.00913753358020519,0.480696208160146,0.273596116870273,0.107151466452391,0.206227400562475,2667,0.107151466452391,0.0375690773432835,0.469224588188027,0.99538319653638,2.06142158838642,0.326878264363198,0.461671353957413
"NIOZ140.121",2020,4228.56842105263,113.294427117074,0.991173440517364,5.64055710664756,504.45584447149,46,0.981773147488185,0.741120247886786,0.0560863500579572,0.308642984245516,0.259816494927602,0.0334720329933351,0.059321721839673,909,0.0334720329933351,0.00882655948263584,0.0389218249438451,0.997055612985065,2.06142303617716,0.288323452516846,0.847994992083072
"NIOZ140.97",3154,6514.24758220503,62.3420260911799,0.983959456201545,5.40896902274702,810.972627491029,26,0.887603831885863,0.671385612856511,0.019766019686487,0.390260218764761,0.225175119423308,0.0698590968805543,0.111795162412097,2712,0.0698590968805543,0.0160405437984551,0.234074341207079,0.996156193089007,2.06142289909301,0.286597460137554,0.496535380335385
"NIOZ140.78",1709,3691.91366906475,52.4368482778414,0.980929441168901,5.35659286344396,554.378560067906,23,0.967599778721589,0.7196177972944,0.03068276669271,0.472131346718402,0.316434767645419,0.0652456459578893,0.129538168269647,753,0.0652456459578893,0.0190705588310993,0.316696993328135,0.996620486932301,2.06142303617716,0.340871674898189,0.524044710163764
"NIOZ140.87",400,1162.28409090909,25.0229881036454,0.960036747175917,4.15392468498469,117.985960334799,9,0.999411764705882,0.693307062459336,0.0625574702591136,0.377735292587702,0.295114078426927,0.120011823825007,0.19243275199527,406,0.120011823825007,0.0399632528240829,0.441619864026012,0.999279195339632,2.06142303617716,0.149866981968667,0.472657404670411
"NIOZ140.65",569,1440.68421052632,13.6554474856922,0.926769151941174,3.90923556693351,169.62141164451,5,0.99915032530242,0.616221507880907,0.0239990289730969,0.457217398145985,0.273496590810062,0.199701301472157,0.324727970983572,936,0.199701301472157,0.073230848058826,0.456155323234478,0.99908227330824,2.06142303617716,0.194580755280563,0.521015574994666
"NIOZ140.89",489,1443,27.0368308777342,0.963013416604846,4.2332106839607,143.764881425938,10,0.999522345313933,0.683618036113981,0.0552900426947529,0.393088834813726,0.279586330935252,0.111750599520384,0.193285371702638,466,0.111750599520384,0.0369865833951544,0.427817745803357,0.999164093078932,2.06142303617716,0.168585131894484,0.467146282973621
"NIOZ140.92",625,1757.68902439024,15.7115254695311,0.936352456549221,4.26086707462677,224.452971182569,7,0.999124457478006,0.661856391245107,0.0251384407512498,0.5415153861348,0.323388976614783,0.205865102639296,0.291202346041056,702,0.205865102639296,0.0636475434507787,0.495014662756598,0.998643635471836,2.06142303617716,0.24574780058651,0.378885630498534
"NIOZ140.72",1717,3495.0154109589,6.922547291759,0.855544504377679,3.5002860311743,486.902459873115,3,0.840044255710551,0.469942150357978,0.00403176895268434,0.604953248827558,0.234071085125977,0.295992033856112,0.47168284789644,4756,0.295992033856112,0.144455495622321,0.736930545182972,0.997708462159906,2.06142075629155,0.251120238984317,0.243714214588001
"NIOZ140.69",1517,3068.4557195572,12.7614341717956,0.921638901510762,4.21306957577229,446.205248812824,5,0.874030293211773,0.575203131911039,0.00841228356743281,0.530920780409036,0.252518603512843,0.230245337048216,0.322111291695689,2975,0.230245337048216,0.078361098489238,0.576348579831282,0.997745173174081,2.06142244332336,0.254237288135593,0.356164383561644
"NIOZ140.83",1148,2615.06586826347,22.7940097110194,0.956128824516708,4.96480952425844,420.955653881396,16,0.867631154402032,0.704650434211937,0.0198554091559402,0.547946772156465,0.376823706499517,0.158270989193682,0.241230257689111,952,0.158270989193682,0.0438711754832923,0.44455527847049,0.997190519946884,2.06142303617716,0.373732335827099,0.496425602660017
"NIOZ140.77",646,1423.52830188679,34.6481021069878,0.971138390295891,4.74372648577298,233.574818738784,14,0.992255166041478,0.733097429923453,0.0536348329829532,0.501217205909657,0.347918031836884,0.111270845313399,0.178263369752731,387,0.111270845313399,0.0288616097041091,0.284646348476136,0.998463937398554,2.06142303617716,0.260207015526164,0.674238067855089
"NIOZ140.108",451,968.025641025641,122.818083378452,0.991857876523617,5.54478230871316,295.217380822003,59,0.998130393595869,0.907275127345174,0.272323909930048,0.693268567551825,0.60961919666145,0.044131455399061,0.0732394366197183,47,0.044131455399061,0.00814212347638255,0.117370892018779,0.997752184351015,2.06142303617716,0.413145539906103,0.691079812206573
