treatment,timepoint,Material,description,Order,Order_rep_rel_abund,st_dev_Order_abund
no UV,T1,PS,PS_no UV_T1, Pseudomonadales,0.23554986055843136,0.04681767388105893
no UV,T1,PP,PP_no UV_T1, Flavobacteriales,0.2177756616180626,0.11642205189707444
no UV,T6,PS,PS_no UV_T6, Propionibacteriales,0.14559992590024595,0.18648466336923647
UV,T1,Nylon,Nylon_UV_T1,unassigned,0.10213914884797183,0.046701418070210464
UV,T6,Nylon,Nylon_UV_T6, Nostocales,0.018747206378574917,0.021175287138943632
UV,T6,PS,PS_UV_T6, Flavobacteriales,0.14102549262498112,0.04588001383641902
no UV,T1,PP,PP_no UV_T1, Pseudomonadales,0.2510608861050922,0.06076487766565007
UV,T6,PS,PS_UV_T6, Rhodobacterales,0.11607122395615735,0.029149397943326612
UV,T6,PS,PS_UV_T6, Arenicellales,0.062149904310013465,0.023418926419843205
no UV,T6,PP,PP_no UV_T6, Caulobacterales,0.055258070028172526,0.011248486969173115
UV,T6,Nylon,Nylon_UV_T6, Oceanospirillales,0.2006254250076463,0.02904119668566107
no UV,T1,PE,PE_no UV_T1, Propionibacteriales,0.07983190885848156,0.0344838856244442
UV,T6,Nylon,Nylon_UV_T6, Flavobacteriales,0.11674242462958308,0.03178733942789056
no UV,T6,PE,PE_no UV_T6, Betaproteobacteriales,0.15787993603270375,0.22119586607468641
UV,T6,PS,PS_UV_T6, Pseudomonadales,0.03180901492086707,0.006733540024422955
no UV,T6,PE,PE_no UV_T6, Pseudomonadales,0.07197394438372241,0.09220568193764728
UV,T6,PE,PE_UV_T6, Caulobacterales,0.21401461402461502,0.060278456109866665
no UV,T6,Nylon,Nylon_no UV_T6, Rhizobiales,0.061203818843799905,0.018445395186490757
NA,NA,negative_c,negative_c_, Lactobacillales,0.017276344985606526,0.023273940769452623
UV,T1,PP,PP_UV_T1, Blastocatellales,0.00801297188375681,0.011367857878641571
UV,T6,PS,PS_UV_T6, Betaproteobacteriales,0.04532283283395005,0.05693156313746464
NA,NA,negative_c,negative_c_, Flavobacteriales,0.10238029000208278,0.10937786199877746
UV,T6,PP,PP_UV_T6, Caulobacterales,0.08459499279405872,0.05888260978347602
no UV,T6,Nylon,Nylon_no UV_T6, Propionibacteriales,0.04225569880032228,0.03817053738696828
UV,T1,PP,PP_UV_T1, Flavobacteriales,0.09105077103960392,0.1259895883696998
no UV,T6,PET,PET_no UV_T6, Flavobacteriales,0.1469672485366427,0.09433763700006396
UV,T6,PP,PP_UV_T6, Cellvibrionales,0.08349478377660777,0.06498528201114613
UV,T1,PP,PP_UV_T1, Obscuribacterales,0.009513499582942177,0.01132997066682462
UV,T6,PP,PP_UV_T6, Rhizobiales,0.07599003738056319,0.03149838545432312
UV,T1,PE,PE_UV_T1,unassigned,0.0843577248942208,0.012851712773156797
UV,T1,PP,PP_UV_T1, Betaproteobacteriales,0.02154542633203264,0.0193784415334611
UV,T1,PET,PET_UV_T1,unassigned,0.0982236082951909,0.0506489375233655
UV,T1,PS,PS_UV_T1, Bacillales,0.02232019618859922,0.02048927909440296
UV,T6,PP,PP_UV_T6, Propionibacteriales,0.018095483684384,0.021698141938597454
no UV,T6,PP,PP_no UV_T6, Lactobacillales,0.014331158648616773,0.017935790223490997
no UV,T6,PP,PP_no UV_T6, Betaproteobacteriales,0.04267659307275115,0.0530742530492715
no UV,T1,PP,PP_no UV_T1, Propionibacteriales,0.06346415477560281,0.05314664277386752
no UV,T6,PS,PS_no UV_T6, Flavobacteriales,0.18419300570554964,0.08223041750144694
UV,T6,PS,PS_UV_T6, Cellvibrionales,0.01788465286679261,0.008464498892418123
UV,T6,PS,PS_UV_T6, Xanthomonadales,0.018232991244036822,0.019792250009225153
UV,T6,PS,PS_UV_T6, Caulobacterales,0.024777114353502085,0.006752305219904251
UV,T1,PE,PE_UV_T1, Propionibacteriales,0.19257598446618837,0.0976365207617228
no UV,T1,PS,PS_no UV_T1,unassigned,0.1073002202918851,0.013885655434474753
UV,T1,PS,PS_UV_T1, Alteromonadales,0.020843411680317614,0.020847715947101816
NA,NA,negative_c,negative_c_, Micrococcales,0.004233844038110619,0.004075967737111163
UV,T6,PP,PP_UV_T6, Oceanospirillales,0.10685819903776803,0.007173173633184927
no UV,T6,PE,PE_no UV_T6, Caulobacterales,0.08531109567165981,0.062038946471961634
no UV,T6,PP,PP_no UV_T6, Flavobacteriales,0.09909543429214755,0.047838768809931
UV,T6,PS,PS_UV_T6, Sphingomonadales,0.026932819861022445,0.015495536089806706
no UV,T6,PET,PET_no UV_T6, Caulobacterales,0.061627631909876864,0.03218111658479558
UV,T1,PP,PP_UV_T1, Chitinophagales,0.008782908023391392,0.010750413845834066
no UV,T1,Nylon,Nylon_no UV_T1,unassigned,0.07159314717609337,0.034507994943461316
no UV,T1,Nylon,Nylon_no UV_T1, Propionibacteriales,0.1747969844088608,0.11350928968832699
no UV,T6,PP,PP_no UV_T6, Cellvibrionales,0.04497793870646563,0.02735625126086214
UV,T6,PP,PP_UV_T6, Rhodobacterales,0.1295042828257915,0.05108310301302558
UV,T1,PS,PS_UV_T1, Clostridiales,0.018876833744736136,0.013895813479071543
no UV,T1,PET,PET_no UV_T1, Pseudomonadales,0.3663294951792256,0.07476467071634076
no UV,T6,PS,PS_no UV_T6, Caulobacterales,0.03948883570168102,0.01584045068310107
NA,NA,negative_c,negative_c_, Chitinophagales,0.04500588991067851,0.04371730507421316
UV,T6,PP,PP_UV_T6, Pasteurellales,0.008392185027065128,0.011885731404462927
no UV,T6,PE,PE_no UV_T6, Rhodobacterales,0.14814098594008163,0.09601351483349325
no UV,T6,Nylon,Nylon_no UV_T6, Betaproteobacteriales,0.07508463969255363,0.08294706967994935
UV,T6,PP,PP_UV_T6, Xanthomonadales,0.01729605706920883,0.01228823090595245
no UV,T6,PS,PS_no UV_T6, Xanthomonadales,0.01923831409375576,0.014561453197306014
NA,NA,negative_c,negative_c_, Corynebacteriales,0.007023770632534202,0.008568372894539707
no UV,T6,PE,PE_no UV_T6, Sphingomonadales,0.07420693662784912,0.05304355463403635
UV,T6,Nylon,Nylon_UV_T6, Chitinophagales,0.05749295368716657,0.02768143208509565
no UV,T1,PS,PS_no UV_T1, Flavobacteriales,0.16544053172782328,0.1348697173198781
NA,NA,negative_c,negative_c_, Caulobacterales,0.03361765666715519,0.04318987029116661
no UV,T6,PP,PP_no UV_T6, Phycisphaerales,0.01052667379218413,0.004400566852907115
no UV,T1,PE,PE_no UV_T1, Bacillales,0.020510644048099876,0.01663527568613456
UV,T1,Nylon,Nylon_UV_T1, Flavobacteriales,0.019644848293301317,0.019850892796720813
no UV,T6,PET,PET_no UV_T6, Bacillales,0.028086591687272938,0.03727392014738922
UV,T6,Nylon,Nylon_UV_T6, Caulobacterales,0.034047036487302534,0.014100841301521623
UV,T6,Nylon,Nylon_UV_T6, Betaproteobacteriales,0.019596662081014026,0.017901647689336265
no UV,T6,Nylon,Nylon_no UV_T6, Bacillales,0.020249530370090175,0.017681838691131224
no UV,T6,PET,PET_no UV_T6, Opitutales,0.019839976652564175,0.02172895662022257
no UV,T6,Nylon,Nylon_no UV_T6, Xanthomonadales,0.010192514571068312,0.010715982346186712
NA,NA,negative_c,negative_c_, Opitutales,0.005108603247208719,0.00708193105972026
no UV,T6,Nylon,Nylon_no UV_T6, Pseudomonadales,0.028026992634837686,0.019141406306961244
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriales,0.10083780102798787,0.061075718422442346
UV,T6,PP,PP_UV_T6, Pseudomonadales,0.024529114667377876,0.015285432336312842
no UV,T6,Nylon,Nylon_no UV_T6, Phycisphaerales,0.01557264076877952,0.013402040402473905
UV,T6,PE,PE_UV_T6, Cellvibrionales,0.07046064758500845,0.011518508392665012
no UV,T6,PS,PS_no UV_T6, Rhizobiales,0.05321514712181323,0.023420525571708792
UV,T6,PS,PS_UV_T6,unassigned,0.026722493146730423,0.00932379542992491
UV,T1,PS,PS_UV_T1, Xanthomonadales,0.010550986704922681,0.01055398201703552
NA,NA,negative_c,negative_c_, Betaproteobacteriales,0.013140310401766735,0.008663966791896289
no UV,T6,PET,PET_no UV_T6, Cytophagales,0.02715921090460519,0.02758370344721068
UV,T6,PE,PE_UV_T6, Xanthomonadales,0.009486096730644482,0.012789169055669321
no UV,T6,Nylon,Nylon_no UV_T6, Rhodobacterales,0.15584832828464515,0.13022922961316952
no UV,T6,PP,PP_no UV_T6, Chitinophagales,0.03742898036035505,0.007130583843618873
UV,T1,PP,PP_UV_T1, Oceanospirillales,0.017633057221746167,0.024937373368067884
NA,NA,negative_c,negative_c_, Sphingomonadales,0.03139362238864603,0.04276241157929747
UV,T6,PS,PS_UV_T6, Bdellovibrionales,0.01046749545253328,0.007178927039598439
no UV,T6,PS,PS_no UV_T6, Arenicellales,0.04215146573185228,0.0284252141377097
UV,T6,PS,PS_UV_T6, Cytophagales,0.01280299899173467,0.005008451978302472
UV,T6,Nylon,Nylon_UV_T6, Rhodobacterales,0.2073185373425068,0.05283352476586546
no UV,T6,PE,PE_no UV_T6, Chitinophagales,0.04798204244748781,0.009198557204711508
no UV,T6,PET,PET_no UV_T6, Sphingomonadales,0.03615053650902287,0.022153256847723825
UV,T6,Nylon,Nylon_UV_T6, Sphingomonadales,0.03764768494725562,0.016143976915029785
UV,T6,Nylon,Nylon_UV_T6, Opitutales,0.020332695799112906,0.015358567845387455
no UV,T1,PE,PE_no UV_T1, Flavobacteriales,0.05394307407215332,0.03407434999410486
no UV,T1,PET,PET_no UV_T1, Chloroflexales,0.051748009691934924,0.07498999043112915
UV,T1,Nylon,Nylon_UV_T1, Deinococcales,0.003489960346829852,0.004971707608022347
no UV,T6,PE,PE_no UV_T6, Flavobacteriales,0.07582601287844518,0.054217917178822454
UV,T1,PS,PS_UV_T1, Rhizobiales,0.01791235011466095,0.013265873026380727
UV,T6,PE,PE_UV_T6, Flavobacteriales,0.10466706475828781,0.021320636880611823
UV,T1,PET,PET_UV_T1, Propionibacteriales,0.06528763981226735,0.038744945947990946
UV,T6,PE,PE_UV_T6, Oceanospirillales,0.12243081178488631,0.012630630472500185
UV,T1,PS,PS_UV_T1, Betaproteobacteriales,0.011158459144169814,0.010528887601284367
NA,NA,negative_c,negative_c_, Clostridiales,9.126746673979274e-4,9.380098352075986e-4
UV,T6,PET,PET_UV_T6, Caulobacterales,0.05401088471166327,0.014162722017032087
NA,NA,negative_c,negative_c_, Rhodobacterales,0.07861626121805206,0.07766476989816525
no UV,T6,PP,PP_no UV_T6, Rhizobiales,0.04426630870948304,0.025799974695932586
no UV,T6,PP,PP_no UV_T6, Xanthomonadales,0.009549784401321936,0.00988865209061611
no UV,T6,Nylon,Nylon_no UV_T6, Caulobacterales,0.03638149988037752,0.030337019161734154
no UV,T6,PS,PS_no UV_T6, Chitinophagales,0.06746151825187735,0.04428133326085522
UV,T6,PP,PP_UV_T6, Chitinophagales,0.05132517113327864,0.016284718915936577
no UV,T1,PP,PP_no UV_T1, Oceanospirillales,0.0377781227969509,0.028585634881348198
no UV,T6,PP,PP_no UV_T6, Verrucomicrobiales,0.010253002319336391,0.008307954591138303
no UV,T6,PET,PET_no UV_T6, Cellvibrionales,0.03994809398221406,0.034159264554339173
no UV,T6,PET,PET_no UV_T6, Corynebacteriales,0.021531761023360612,0.023305250505109024
UV,T1,PET,PET_UV_T1, Rhizobiales,0.04942619486967085,0.03380583120020051
no UV,T6,Nylon,Nylon_no UV_T6,unassigned,0.017873150109097118,0.011666811974464342
no UV,T6,Nylon,Nylon_no UV_T6, Flavobacteriales,0.07264833231692094,0.022866402180231293
UV,T6,PS,PS_UV_T6, Chitinophagales,0.03633864226539019,0.018764231766143235
no UV,T1,PS,PS_no UV_T1, Propionibacteriales,0.09127887347413034,0.10602970613382307
no UV,T1,PET,PET_no UV_T1,unassigned,0.11267436353993149,0.03374303960731301
no UV,T6,PET,PET_no UV_T6, Pseudomonadales,0.041677299606349395,0.03740400511092064
no UV,T6,PE,PE_no UV_T6, Xanthomonadales,0.028369043058981348,0.034752521748658255
no UV,T6,PET,PET_no UV_T6, Oceanospirillales,0.02864580913177069,0.03378380383484191
no UV,T1,PP,PP_no UV_T1, Lentisphaerales,0.02021962494423688,0.023943939974255295
UV,T1,Nylon,Nylon_UV_T1, Lactobacillales,0.027140587342427275,0.021507583557819208
no UV,T6,PP,PP_no UV_T6, Nostocales,0.007614816550318979,0.007998330974531946
no UV,T6,Nylon,Nylon_no UV_T6, Arenicellales,0.004478014186516282,0.0051860062554489605
no UV,T6,PE,PE_no UV_T6, Propionibacteriales,0.02972099037406148,0.01727309673810032
no UV,T6,PET,PET_no UV_T6, Rhizobiales,0.05783471261081051,0.02993308633481469
no UV,T6,Nylon,Nylon_no UV_T6, Micrococcales,0.0074901400248449075,0.005947601607616304
UV,T6,Nylon,Nylon_UV_T6,unassigned,0.02574559560259878,0.013261251992683892
no UV,T1,Nylon,Nylon_no UV_T1, Rhizobiales,0.07254743483319094,0.04546338853757293
no UV,T6,Nylon,Nylon_no UV_T6, Phormidesmiales,0.0065094953334430385,0.0060412178171340555
UV,T1,PS,PS_UV_T1, Oceanospirillales,0.024455044775112643,0.013812696453448481
no UV,T6,PET,PET_no UV_T6, Phormidesmiales,0.00935885562189272,0.007101510418605758
UV,T6,PE,PE_UV_T6, Sphingomonadales,0.04876529825082215,0.020982846629581095
UV,T6,Nylon,Nylon_UV_T6, Micavibrionales,0.009162088619940022,0.008536805649930207
UV,T6,PP,PP_UV_T6, Tepidisphaerales,0.002706512920772985,0.003961929235227757
UV,T6,PET,PET_UV_T6, Phormidesmiales,0.01827738841575427,0.020655213829332643
UV,T6,PET,PET_UV_T6, Flavobacteriales,0.16579397362746137,0.03638975698536616
no UV,T6,Nylon,Nylon_no UV_T6, Chitinophagales,0.04020267511776311,0.023746458941543706
no UV,T1,Nylon,Nylon_no UV_T1, Cytophagales,0.02143558857572329,0.015390725234629622
UV,T6,PP,PP_UV_T6, Nostocales,0.009965937575680484,0.00853021411438017
no UV,T6,PS,PS_no UV_T6, Pseudomonadales,0.04929141750172462,0.03849402975907827
no UV,T6,PET,PET_no UV_T6,unassigned,0.020180736820240748,0.012676891407217212
no UV,T6,PS,PS_no UV_T6,unassigned,0.03728176612490502,0.01574102260096477
UV,T6,PP,PP_UV_T6, Verrucomicrobiales,0.01711185662947795,0.006397827087419479
no UV,T6,PP,PP_no UV_T6, Arenicellales,0.01636083748050107,0.013186554824326336
no UV,T6,PET,PET_no UV_T6, Gammaproteobacteria Incertae Sedis,0.010047493536704186,0.014147880642506718
UV,T1,PP,PP_UV_T1, Micrococcales,0.00804702445648163,0.005317740319912994
UV,T1,Nylon,Nylon_UV_T1, Oligoflexales,0.0022925429174865063,0.0032483032125517476
no UV,T6,PE,PE_no UV_T6, Bacillales,0.015397282696164636,0.013857040291590163
no UV,T1,PS,PS_no UV_T1, Oceanospirillales,0.057589368602964756,0.048903407871077796
no UV,T6,PS,PS_no UV_T6, Corynebacteriales,0.04083971969989549,0.03561938371982861
no UV,T6,PE,PE_no UV_T6, Rhizobiales,0.04500973120043513,0.006399344873116888
UV,T1,PP,PP_UV_T1, Clostridiales,0.007283000172264309,0.005944896557000409
UV,T6,PS,PS_UV_T6, SAR86 clade,0.006312114494861092,0.00488956176052032
no UV,T6,PP,PP_no UV_T6, Opitutales,0.010209093337054198,0.0019117101828654156
no UV,T6,PP,PP_no UV_T6, Rhodobacterales,0.04351171477576781,0.02674371473434446
UV,T6,PS,PS_UV_T6, Rhizobiales,0.03132206998870625,0.011377635233345656
UV,T1,PP,PP_UV_T1, Rhodobacterales,0.009481531096905289,0.008415393573834586
UV,T6,Nylon,Nylon_UV_T6, Cellvibrionales,0.025372642810240396,0.013860236606197767
UV,T1,Nylon,Nylon_UV_T1, Xanthomonadales,0.017448894055383392,0.015283233227131501
no UV,T6,Nylon,Nylon_no UV_T6, Puniceispirillales,0.0014789825577842155,0.002095163429942384
no UV,T1,PET,PET_no UV_T1, Propionibacteriales,0.11416008881006015,0.06147109257917924
UV,T6,PE,PE_UV_T6, Rhizobiales,0.04339775223627547,0.007506695037577595
UV,T6,PS,PS_UV_T6, Corynebacteriales,0.007199720012526398,0.0077580598413601095
UV,T6,PS,PS_UV_T6, Synechococcales,0.004690340800910089,0.004540336725666446
NA,NA,negative_c,negative_c_, Cellvibrionales,0.007721910659320057,0.009973157475085238
UV,T6,PET,PET_UV_T6, Sphingomonadales,0.02156601664595497,0.00901474927022296
UV,T1,Nylon,Nylon_UV_T1, Candidatus Peribacteria,0.0019074438447328674,0.0027641487376224056
no UV,T6,PE,PE_no UV_T6, Oceanospirillales,0.05254861220847292,0.038466372348325735
UV,T6,PP,PP_UV_T6, Flavobacteriales,0.0773455619044276,0.01807351342238335
no UV,T1,Nylon,Nylon_no UV_T1, Micrococcales,0.01886647135847202,0.020137954348920947
NA,NA,negative_c,negative_c_, Arenicellales,0.005002541974448272,0.00551055663269739
no UV,T6,PS,PS_no UV_T6, Acetobacterales,0.006031505349170247,0.008605658927815526
no UV,T6,PET,PET_no UV_T6, Lactobacillales,0.03768848683167986,0.04271134011065156
UV,T6,PE,PE_UV_T6, Micavibrionales,0.017294894047207812,0.023342697299083164
UV,T6,PP,PP_UV_T6, Cytophagales,0.0226153089605046,0.008912337055568374
UV,T1,Nylon,Nylon_UV_T1, Rhizobiales,0.085396774838749,0.07196146006709288
UV,T6,PE,PE_UV_T6, Rhodobacterales,0.11956856945910657,0.009969662119932785
UV,T6,PE,PE_UV_T6, Microtrichales,0.01490431916725572,0.01062036783449049
no UV,T6,PS,PS_no UV_T6, Oceanospirillales,0.030137480578345595,0.014630852102773748
no UV,T6,PP,PP_no UV_T6, Microtrichales,0.007231841036614762,0.005216668097578198
no UV,T6,PE,PE_no UV_T6, Micavibrionales,0.02596166343371234,0.018459056176531874
UV,T6,PP,PP_UV_T6, Micrococcales,0.00686719912714697,0.007173692627774047
UV,T6,PS,PS_UV_T6, Solibacterales,0.0018001251779354505,0.002572701465339685
UV,T1,Nylon,Nylon_UV_T1, Bacillales,0.03162906262567837,0.02103415292819801
no UV,T6,Nylon,Nylon_no UV_T6, Rhodospirillales,0.006625577233537058,0.002799197711971461
UV,T6,PE,PE_UV_T6, Phycisphaerales,0.0054583844835507924,0.00330727022389171
NA,NA,negative_c,negative_c_, Nostocales,0.0025714826959673614,0.0038938646742779255
NA,NA,negative_c,negative_c_, Myxococcales,0.0012727603291093844,9.560282896927077e-4
NA,NA,negative_c,negative_c_, Oligoflexales,5.871086625807101e-4,9.878634448851238e-4
UV,T6,Nylon,Nylon_UV_T6, Pseudomonadales,0.023903573334490717,0.023794809109204475
UV,T1,PP,PP_UV_T1, Sphingomonadales,0.005288365359352771,0.0017259626904716475
no UV,T6,PS,PS_no UV_T6, Sphingomonadales,0.045860716573425886,0.030766152609535212
UV,T1,PE,PE_UV_T1, Bacillales,0.015866666409982057,0.007850127881806796
no UV,T6,Nylon,Nylon_no UV_T6, Obscuribacterales,0.006570738512803011,0.0046549909741308475
UV,T1,PE,PE_UV_T1, Cytophagales,0.020146781389339057,7.233089602592822e-4
no UV,T6,PET,PET_no UV_T6, Chitinophagales,0.030462500644935563,0.022874281391368424
no UV,T6,Nylon,Nylon_no UV_T6, Clostridiales,0.0034113723516773285,0.0027178305395920517
UV,T1,PP,PP_UV_T1, Verrucomicrobiales,0.005931638579453489,0.008390365112787183
no UV,T6,PE,PE_no UV_T6, Obscuribacterales,0.00538408045235291,0.007019071130555417
UV,T6,PE,PE_UV_T6, Cytophagales,0.022252699027713877,0.0070528485342710445
no UV,T6,PE,PE_no UV_T6,unassigned,0.018268642166334115,0.0052025722223242345
UV,T6,PE,PE_UV_T6, Arenicellales,0.019615026573914774,0.005520794440471442
no UV,T6,PE,PE_no UV_T6, Microtrichales,0.012723519481082628,0.008998541594947397
UV,T1,PP,PP_UV_T1, Lactobacillales,0.005240899425639082,0.004526692971605746
UV,T6,PET,PET_UV_T6, Nostocales,0.010324410863894873,0.007139293109464501
no UV,T1,PP,PP_no UV_T1, Bacteroidales,0.011828086775273642,0.005508738617541567
UV,T6,PP,PP_UV_T6, SBR1031,0.0017289763130245112,0.0024528673365050413
UV,T6,PS,PS_UV_T6, Thermosynechococcales,0.0013162513162513162,0.0018824945821363484
no UV,T6,PP,PP_no UV_T6, Cytophagales,0.01735475614435015,0.005122200490490435
UV,T1,PE,PE_UV_T1, Rhizobiales,0.045352320267451604,0.010887256069558284
no UV,T6,PS,PS_no UV_T6, Cytophagales,0.0292115665545771,0.025706509575947774
UV,T6,PP,PP_UV_T6, Betaproteobacteriales,0.022940115146384985,0.014541416778271964
NA,NA,negative_c,negative_c_, Alteromonadales,0.009085512980303422,0.010103342517298185
no UV,T1,Nylon,Nylon_no UV_T1, Oceanospirillales,0.02362039218223483,0.014634466982469008
no UV,T1,PE,PE_no UV_T1, Caulobacterales,0.005997570930384175,0.006580044345311503
no UV,T1,PS,PS_no UV_T1, Lactobacillales,0.012697181827621916,0.008558776967258356
no UV,T6,PET,PET_no UV_T6, Nostocales,0.006989054099009065,0.002083643534314692
no UV,T6,PET,PET_no UV_T6, Planctomycetales,0.004193980404595756,0.005942712033743754
no UV,T6,PS,PS_no UV_T6, Bacteroidales,0.007215151934666241,0.009425369088617786
UV,T6,PP,PP_UV_T6,unassigned,0.030551803802700044,0.00642296172419198
no UV,T1,PE,PE_no UV_T1, Cytophagales,0.01380724566212131,0.011983445593740068
UV,T1,PET,PET_UV_T1, Bacteroidales,0.0776480452440012,0.10336555528717263
no UV,T6,PS,PS_no UV_T6, Phycisphaerales,0.007704429977896202,0.006074068115621161
no UV,T1,Nylon,Nylon_no UV_T1, Obscuribacterales,0.00976199799844119,0.007934354456166014
UV,T6,PE,PE_UV_T6, Chitinophagales,0.0564417358045347,0.011721070123150905
UV,T6,PE,PE_UV_T6, Pseudomonadales,0.00514215880119794,0.005877942000164948
UV,T6,PP,PP_UV_T6, Opitutales,0.010703994768214951,0.008337143467922373
UV,T6,Nylon,Nylon_UV_T6, Rhizobiales,0.02868844803373357,0.003957167007877827
UV,T6,PET,PET_UV_T6, Opitutales,0.015470250767495223,0.013259658499829035
UV,T6,PS,PS_UV_T6, Balneolales,0.0015197994772112849,0.0011839500153811718
UV,T6,PE,PE_UV_T6, Opitutales,0.0060760995845201725,0.004748294724487766
UV,T6,PP,PP_UV_T6, Corynebacteriales,0.0046726822900317036,0.006099251889427505
no UV,T1,PS,PS_no UV_T1, Bacillales,0.03459916086100124,0.027413842805507734
UV,T1,Nylon,Nylon_UV_T1, Oceanospirillales,0.009140469015505677,0.00846332833927614
no UV,T6,PET,PET_no UV_T6, Betaproteobacteriales,0.014601925713937964,0.005674484333933342
UV,T1,PP,PP_UV_T1, Caulobacterales,0.0040959549076466486,0.0030568020188850046
no UV,T6,PET,PET_no UV_T6, Rhodobacterales,0.0569339282641675,0.0437760895884673
UV,T6,PS,PS_UV_T6, Hydrogenedentiales,0.0018530048326366034,0.002665343444172953
no UV,T6,PET,PET_no UV_T6, Micrococcales,0.014677821583832717,0.01327371929824872
NA,NA,negative_c,negative_c_, Phycisphaerales,0.001908130847198243,0.0021763390084826154
UV,T6,Nylon,Nylon_UV_T6, Propionibacteriales,0.0035555789376114106,0.0028478309934637973
no UV,T6,PP,PP_no UV_T6, Micavibrionales,0.004496871435390154,0.003239761691598667
NA,NA,negative_c,negative_c_, Microtrichales,0.008472865314996867,0.009845806106710852
UV,T6,PS,PS_UV_T6, Lactobacillales,0.0078037801644917654,0.007511002932297371
no UV,T6,Nylon,Nylon_no UV_T6, SAR324 clade(Marine group B),9.941370360863596e-4,0.0014107286645231468
UV,T6,PS,PS_UV_T6, Phycisphaerales,0.0031248489171882697,0.001551807699030295
no UV,T6,PS,PS_no UV_T6, Rhodospirillales,0.011418674127061589,0.012958100864152477
UV,T1,PE,PE_UV_T1, Selenomonadales,0.007308475704642917,0.00670749941916783
no UV,T1,PP,PP_no UV_T1, Fusobacteriales,0.007218600049453291,0.006033946250523636
no UV,T6,Nylon,Nylon_no UV_T6, Cellvibrionales,0.021493138486290576,0.02077929347195747
UV,T6,PS,PS_UV_T6, Rickettsiales,0.0017732651214435195,0.0024770534804979356
UV,T1,Nylon,Nylon_UV_T1, Micrococcales,0.015874253588241936,0.004529080207746493
no UV,T6,PP,PP_no UV_T6, Phormidesmiales,0.0030063014839075,0.002551493256460566
no UV,T6,PET,PET_no UV_T6, Xanthomonadales,0.005980938417912602,0.006138474467096949
