treatment,timepoint,Material,description,Species,Species_rep_rel_abund,st_dev_Species_abund
no UV,T1,PS,PS_no UV_T1, Croceibacter atlanticus HTCC2559,0.020740119313944816,0.02954583970505433
UV,T6,PS,PS_UV_T6, Winogradskyella sp. PC-8,0.003036107762710085,0.003074809998646527
NA,NA,negative_c,negative_c_, Erythrobacter sp. YT30,0.002032326568282305,0.002253915798241768
no UV,T6,Nylon,Nylon_no UV_T6, Leptolyngbya aff. ectocarpi LEGE 11473,0.001034885041179651,0.0014546714138835282
no UV,T1,PS,PS_no UV_T1, Oleiphilus sp. HI0067,0.014716253928189173,0.01586464758786849
UV,T6,Nylon,Nylon_UV_T6, Pseudoruegeria lutimaris,0.004210232726793106,0.0033256311675179113
NA,NA,negative_c,negative_c_, Acinetobacter sp. CMC-CF62,4.490068298470081e-4,8.032078351196733e-4
no UV,T6,Nylon,Nylon_no UV_T6, Cladosiphon okamuranus,0.001148961656460465,0.0016284056676815026
no UV,T6,PP,PP_no UV_T6, filamentous cyanobacterium FLK9,0.0011363876154053814,9.391138277218847e-4
NA,NA,negative_c,negative_c_, Leptolyngbya aff. ectocarpi LEGE 11473,5.64257253982145e-4,9.706302113029566e-4
NA,NA,negative_c,negative_c_, Oleiphilus sp. HI0073,5.533411919616352e-4,7.229438566580127e-4
NA,NA,negative_c,negative_c_, Roseovarius aestuarii,0.0011319190545021683,0.0019735683083372236
UV,T6,PET,PET_UV_T6, Halobacteriovorax marinus SJ,0.0034898918544531356,0.0034039989158032836
UV,T6,PET,PET_UV_T6, Lactobacillus plantarum,0.009092667827432772,0.015748962653460482
UV,T6,PE,PE_UV_T6, Winogradskyella sp. PC-8,0.005991756566811134,0.0018089956736280727
no UV,T6,PP,PP_no UV_T6, Leptolyngbya sp. PCC 7376,0.0015708681984759325,0.0018883975750917106
NA,NA,negative_c,negative_c_, bacterium AMSU,4.882540869985378e-4,8.111386123139438e-4
no UV,T6,PS,PS_no UV_T6, filamentous cyanobacterium FLK9,0.0016980371841363035,0.0024053995608999527
no UV,T6,PP,PP_no UV_T6, Lepisosteus oculatus (spotted gar),0.002363631737303339,0.0028112694003253422
NA,NA,negative_c,negative_c_, Reichenbachiella sp. DC003,5.521916456680654e-4,9.347617713497836e-4
NA,NA,negative_c,negative_c_, Erythrobacteraceae bacterium LSUCC0267,9.765632015777705e-4,0.0016144247494516847
UV,T6,PS,PS_UV_T6, Epibacterium ulvae,8.528686529806112e-4,0.001017470363694971
UV,T6,PP,PP_UV_T6, Afipia genosp. 1,0.002038604454866842,0.0016886577172366979
NA,NA,negative_c,negative_c_, Kyrtuthrix huatulcensis C708,3.7976845360083414e-4,7.595369072016683e-4
NA,NA,negative_c,negative_c_, Rhodobacteraceae bacterium E13,5.659595272510841e-4,9.898344988605293e-4
no UV,T6,Nylon,Nylon_no UV_T6, Chryseobacterium taklimakanense,6.926364595683654e-4,0.0010389546893525478
no UV,T6,PP,PP_no UV_T6, Erythrobacter sp. YT30,0.006926191633903292,0.004441312071829413
no UV,T6,Nylon,Nylon_no UV_T6, Ruegeria sp.,0.004278585989879693,0.0034716568003868627
NA,NA,negative_c,negative_c_, Antarctobacter sp. R22,4.326952417617345e-4,8.594085277635571e-4
NA,NA,negative_c,negative_c_, Lysobacter sp.,1.7461035084363608e-4,3.049862300840722e-4
UV,T1,PE,PE_UV_T1, Tenacibaculum sp. U1368-101106-SW106,0.007950130996476646,0.007967936463340708
UV,T6,PS,PS_UV_T6, Pseudooceanicola nitratireducens,0.0015846831107117032,0.002160404062457863
UV,T6,PS,PS_UV_T6, Synechococcus sp. LEGE 07074,5.874380874380874e-4,8.39554297041504e-4
no UV,T6,PET,PET_no UV_T6, Winogradskyella sp. PC-8,0.003696505285430621,0.0027173454829968603
no UV,T6,PP,PP_no UV_T6, Aquimarina sp. TP207,0.0015268862570191563,0.00264464457453585
UV,T6,PS,PS_UV_T6, unidentified marine bacterioplankton,0.0017196742963459394,0.0013583087356380098
no UV,T6,PS,PS_no UV_T6, Aquimarina spongiae,0.0020338072487960245,0.00291383727000158
no UV,T6,Nylon,Nylon_no UV_T6, Leptolyngbya sp. RS03,6.274471457266369e-4,8.933197129177811e-4
UV,T6,PE,PE_UV_T6, Polaribacter sp. KJ034,0.0016051742657864044,0.0013377236815855548
UV,T6,PP,PP_UV_T6, Bacteroidetes bacterium JS5,0.0014629799571745864,0.0020813924314471224
no UV,T6,PS,PS_no UV_T6, Persicobacter sp. CCB-QB2,0.0014198277019896776,0.0020972245052600295
NA,NA,negative_c,negative_c_, Epibacterium ulvae,8.278162948423997e-4,0.0012324295512412366
UV,T6,Nylon,Nylon_UV_T6, Loktanella sediminum,0.0012815341412620346,0.0014363230126512572
UV,T6,PP,PP_UV_T6, filamentous cyanobacterium FLK9,0.001805897629014093,0.001903041058082657
no UV,T6,PP,PP_no UV_T6, Loktanella sediminum,0.0010418978768028235,4.182117388512414e-4
UV,T6,PS,PS_UV_T6, Tenacibaculum jejuense,0.0032148001701719263,0.0010600433152019872
NA,NA,negative_c,negative_c_, Pseudoruegeria lutimaris,6.413601048518198e-4,6.619741353746457e-4
NA,NA,negative_c,negative_c_, Muricauda sp. EF1B-B200,4.6989445951532694e-4,8.216398506242001e-4
UV,T6,PS,PS_UV_T6, Erythrobacteraceae bacterium LSUCC0267,6.104877972875759e-4,4.734220441631594e-4
UV,T6,PET,PET_UV_T6, Winogradskyella sp. PC-8,0.006541612721348965,0.002959851764183441
UV,T6,PS,PS_UV_T6, bacterium AMSU,9.582204793317935e-4,0.0013728432461869865
no UV,T6,Nylon,Nylon_no UV_T6, Burkholderia sp. HOT13,5.663321640000164e-4,9.80916082008458e-4
UV,T6,PS,PS_UV_T6, Robbea sp. associated bacterium 2,0.001120756813187659,0.0015067809368050679
UV,T6,Nylon,Nylon_UV_T6, Reichenbachiella sp. DC003,0.00162699720862685,0.0015488641419892097
UV,T6,PET,PET_UV_T6, Oleiphilus sp. HI0067,0.02784905347437041,0.018970652826676003
NA,NA,negative_c,negative_c_, Muricauda lutaonensis,4.676473089023042e-4,8.203076449602348e-4
UV,T6,PP,PP_UV_T6, Winogradskyella sp. PC-8,0.001577852860298257,0.0016313443898212745
no UV,T6,PP,PP_no UV_T6, Halobacteriovorax marinus SJ,0.001719354794795953,0.0016275805912559793
no UV,T6,PET,PET_no UV_T6, Tenacibaculum sp. U1368-101106-SW106,0.0024872970236196126,0.003502378249504197
NA,NA,negative_c,negative_c_, Maritimimonas rapanae,0.0011915597807117893,0.0018878809150329127
UV,T6,PS,PS_UV_T6, Loktanella koreensis,5.144022791082308e-4,5.899749306771371e-4
no UV,T6,PP,PP_no UV_T6, Oceanospirillum sp. ME101,0.004347731883243523,0.002850698474274809
no UV,T1,Nylon,Nylon_no UV_T1, Oleiphilus sp. HI0067,0.004538998494345016,0.004690315831833131
UV,T6,PE,PE_UV_T6, alpha proteobacterium GMD37C8,0.0037637629992726615,0.001991124886877115
no UV,T6,Nylon,Nylon_no UV_T6, Pseudoruegeria haliotis,5.29667858906255e-4,7.762290179908908e-4
no UV,T1,PP,PP_no UV_T1, Aquimarina sp. EF1C-B1014,0.0019618490598445693,0.0027737308160884723
NA,NA,negative_c,negative_c_, Winogradskyella rapida,3.4010713374713037e-4,6.802142674942607e-4
UV,T1,PE,PE_UV_T1, Flavobacteriaceae bacterium GUDS991,0.0028683711265696994,0.004056489349114263
no UV,T6,PP,PP_no UV_T6, Aureispira marina,0.00204486405707692,0.0021397892778635967
UV,T6,PP,PP_UV_T6, Erythrobacter sp. MBIC3031,0.003147957448311811,0.0023510733920752056
NA,NA,negative_c,negative_c_, Erythrobacter sp. KMU-34,3.6933509055352436e-4,6.514458667027642e-4
no UV,T6,Nylon,Nylon_no UV_T6, Dyadobacter sp. Leaf189,0.0018884436460780253,0.0032708803422377584
UV,T6,PS,PS_UV_T6, Flammeovirga sp. NBRC 100895,3.461253461253462e-4,5.112610190436776e-4
no UV,T6,PP,PP_no UV_T6, Afipia genosp. 1,0.0025473285153356897,0.0032579231781755544
UV,T6,PS,PS_UV_T6, Cladosiphon okamuranus,0.001304515402176169,0.0018488695967675956
UV,T6,PP,PP_UV_T6, Labrenzia marina,9.176874276822407e-4,0.0013257190061713403
NA,NA,negative_c,negative_c_, Olleya sp. R18-12,6.64271745599864e-4,0.0011716652278826695
no UV,T6,PS,PS_no UV_T6, Tenacibaculum sp. U1368-101106-SW106,0.004665413165617115,0.0042891896681827415
UV,T6,PS,PS_UV_T6, Roseivivax jejudonensis,3.036774979210113e-4,4.1394178351879365e-4
no UV,T1,PS,PS_no UV_T1, Chroococcidiopsis sp. CCMP2733,0.0023989166183014123,0.003543434679381836
UV,T6,PS,PS_UV_T6, Spongiibacterium pacificum,3.6592390167948296e-4,4.724490336034105e-4
UV,T6,PS,PS_UV_T6, Flexibacter sp. S4471,4.821487639985173e-4,3.717110307749154e-4
UV,T6,PE,PE_UV_T6, Leptolyngbya sp. UIC 10142,0.0011451760882063926,0.0010581107854975111
NA,NA,negative_c,negative_c_, Pseudooceanicola nitratireducens,3.8099826270896446e-4,6.43935455000231e-4
NA,NA,negative_c,negative_c_, Spongiivirga citrea,4.4904770002550805e-4,7.86004067356438e-4
NA,NA,negative_c,negative_c_, bacterium DG945,3.666780035711249e-4,6.467592057912336e-4
no UV,T6,Nylon,Nylon_no UV_T6, Erythrobacter sp. YT30,0.002678021237005346,0.0025946082053469465
NA,NA,negative_c,negative_c_, Ruegeria sp.,6.118773683889839e-4,8.913485172138208e-4
NA,NA,negative_c,negative_c_, Pibocella sp. UDC543,5.686166142334835e-4,9.98843391558368e-4
NA,NA,negative_c,negative_c_, Hyphomonas beringensis,3.290688494481557e-4,5.751502317997285e-4
UV,T1,PP,PP_UV_T1, Coregonus lavaretus (common whitefish),0.00198908646494732,7.286121408571963e-4
NA,NA,negative_c,negative_c_, Cladosiphon okamuranus,7.804711758302308e-4,9.604902321220594e-4
no UV,T6,PS,PS_no UV_T6, Oceanospirillum sp. ME101,0.007127116432957126,0.003269224121823439
no UV,T1,PP,PP_no UV_T1, Treponema sp. I:Q:AT20,0.0014357146393385813,0.002120691066924491
NA,NA,negative_c,negative_c_, Arthrobacter sp. R47,6.467346081282594e-4,0.0011276203200485844
UV,T6,PP,PP_UV_T6, unidentified marine bacterioplankton,0.003369386970467015,0.0011787101396248476
UV,T6,PS,PS_UV_T6, alpha proteobacterium C13,7.698035081740498e-4,8.182587710636648e-4
no UV,T6,PS,PS_no UV_T6, bacterium YC-LK-LKJ25,9.881233331414648e-4,0.0014379306612986988
no UV,T6,Nylon,Nylon_no UV_T6, Lepisosteus oculatus (spotted gar),0.001206377021448853,8.624454180919716e-4
UV,T6,PP,PP_UV_T6, bacterium enrichment culture clone Anammox_9,0.0013964808682121054,0.0019849727429011293
no UV,T6,Nylon,Nylon_no UV_T6, Roseicitreum antarcticum,0.004919944888076972,0.006886580538932242
NA,NA,negative_c,negative_c_, Psychroserpens mesophilus,3.4276422072952983e-4,6.091080044553205e-4
no UV,T6,PP,PP_no UV_T6, Stanieria cyanosphaera SAG 33.87,6.22962098147514e-4,9.099485667974079e-4
UV,T1,PP,PP_UV_T1, Lepisosteus oculatus (spotted gar),0.0023148404819035955,0.0020533522836602325
no UV,T6,PET,PET_no UV_T6, alpha proteobacterium GMD37B4,8.393293702472248e-4,0.0011977244281707422
UV,T6,PET,PET_UV_T6, Grimontia hollisae,0.003620174974851259,0.002666336613685718
UV,T6,PS,PS_UV_T6, Muricauda lutaonensis,2.3400023400023398e-4,3.3658357422631385e-4
UV,T6,PS,PS_UV_T6, Pseudoruegeria haliotis,5.372681300299651e-4,8.059021950449478e-4
UV,T6,PS,PS_UV_T6, Oceanicola granulosus HTCC2516,5.705233582975355e-4,3.8016186711476064e-4
UV,T6,PS,PS_UV_T6, Schizothrix aff. septentrionalis LEGE 07164,0.0010808626307747245,3.890463702302723e-4
no UV,T6,PE,PE_no UV_T6, Winogradskyella sp. PC-8,0.0026501848995952692,0.0018825050829458507
no UV,T6,PE,PE_no UV_T6, Oleiphilus sp. HI0073,0.001334998853362829,9.526737096658038e-4
NA,NA,negative_c,negative_c_, Oceanospirillum sp. ME101,8.246717934212773e-4,8.541478689797172e-4
UV,T6,PS,PS_UV_T6, Loktanella sediminum,7.840791191264972e-4,2.6097384439687416e-4
no UV,T1,PE,PE_no UV_T1, Oleiphilus sp. HI0067,0.002734366100304019,0.001647209792470457
NA,NA,negative_c,negative_c_, Winogradskyella sp. K7-7,3.241646118527336e-4,5.864358479054794e-4
UV,T1,PP,PP_UV_T1, Aquimarina spongiae,0.0015614586308673713,0.0022371030277723728
NA,NA,negative_c,negative_c_, Pseudoclavibacter sp. MCCC 1A09820,1.9154878520996217e-4,3.465247906853576e-4
no UV,T6,PS,PS_no UV_T6, Winogradskyella sp. PC-8,0.0019515508670551046,0.001461885644287224
no UV,T6,Nylon,Nylon_no UV_T6, Leptolyngbya sp. PCC 7376,7.908747727254199e-4,0.001132023486303077
NA,NA,negative_c,negative_c_, Hydra vulgaris,0.0010296032709748372,0.00104878991816481
no UV,T6,PP,PP_no UV_T6, Coregonus lavaretus (common whitefish),7.255331291140427e-4,8.421447225456532e-4
no UV,T1,PP,PP_no UV_T1, Tenacibaculum aiptasiae,0.0012594603620757537,0.0017508992962957579
no UV,T6,PP,PP_no UV_T6, Spongiibacterium pacificum,3.655555683197331e-4,3.7192894730402e-4
NA,NA,negative_c,negative_c_, Leptolyngbya sp. RS03,5.284903304297083e-4,9.138267914612796e-4
NA,NA,negative_c,negative_c_, Coregonus lavaretus (common whitefish),4.522812109901802e-4,4.442870749782274e-4
no UV,T6,PS,PS_no UV_T6, Flavobacteriaceae bacterium GUDS1159,9.042482623534949e-4,0.0012172683645130381
no UV,T6,PS,PS_no UV_T6, Microscilla sp. DG946,8.825955985341239e-4,0.0012919876634902587
no UV,T6,PP,PP_no UV_T6, Tenacibaculum aestuarii,2.0348608663882606e-4,3.052291299582391e-4
UV,T6,PS,PS_UV_T6, Pseudoclavibacter sp. MCCC 1A09820,6.819057784102701e-4,0.0010228586676154052
UV,T6,PS,PS_UV_T6, Polaribacter sp. KJ034,5.011925593172166e-4,3.622425637047619e-4
no UV,T6,Nylon,Nylon_no UV_T6, Synechococcus sp. PCC 7336,8.479482099324088e-4,0.0012339458945663786
no UV,T6,PP,PP_no UV_T6, Sediminitomix flava,2.566699501921556e-4,3.69900767353622e-4
no UV,T6,Nylon,Nylon_no UV_T6, Ruegeria sp. URN111,5.017525415286245e-4,4.214503870553246e-4
no UV,T6,PET,PET_no UV_T6, Schizothrix aff. septentrionalis LEGE 07164,0.001438015595703401,0.00151058828778613
UV,T6,Nylon,Nylon_UV_T6, Cladosiphon okamuranus,9.358152823428876e-4,0.0010204769074144877
UV,T6,PS,PS_UV_T6, Octadecabacter sp. UDC483,2.9046083813494646e-4,3.5372285316087414e-4
UV,T6,Nylon,Nylon_UV_T6, Spongiibacterium pacificum,8.480562127678031e-4,6.239528589054246e-4
no UV,T6,PS,PS_no UV_T6, Marivirga sericea,8.250350160210289e-4,0.0012077275984800245
no UV,T6,PET,PET_no UV_T6, alpha proteobacterium GMD37C8,0.0032553291702124595,0.001526198465404415
NA,NA,negative_c,negative_c_, Stenotrophomonas maltophilia,2.9350134118031495e-4,2.9807626736791376e-4
UV,T6,PET,PET_UV_T6, Lewinella cohaerens DSM 23179,9.163006730070459e-4,0.0013104876183191653
UV,T6,PS,PS_UV_T6, alpha proteobacterium GMD37B4,4.3705981845268513e-4,3.3135850748268225e-4
UV,T1,PE,PE_UV_T1, Oleiphilus sp. HI0067,0.006525625684613579,0.003999863550497135
no UV,T6,Nylon,Nylon_no UV_T6, Aureispira marina,0.0015165227600714235,0.0021502074940724972
UV,T6,PET,PET_UV_T6, Reichenbachiella sp. DC003,9.373650562945643e-4,0.0013308025603131863
no UV,T6,PP,PP_no UV_T6, Nocardioides sp.,8.260272963381678e-4,0.001215003445564628
UV,T6,PE,PE_UV_T6, Erythrobacter sp. MBIC3031,0.0016144505859729957,8.508767921440836e-4
no UV,T1,PP,PP_no UV_T1, Aurantiacicella marina,9.90148027130056e-4,0.0015339307277419344
no UV,T6,PS,PS_no UV_T6, alpha proteobacterium GMD37C8,0.00246832687256054,0.0027432145026466768
NA,NA,negative_c,negative_c_, bacterium DG1127,2.2053821953915484e-4,4.083574328348024e-4
no UV,T6,PE,PE_no UV_T6, Erythrobacter sp. MBIC3031,0.0014047042282250338,0.0012997938233561975
UV,T6,PS,PS_UV_T6, filamentous cyanobacterium FLK9,6.522577010880845e-4,9.239729273590219e-4
NA,NA,negative_c,negative_c_, Pseudoruegeria sp. WM62,3.193228534895586e-4,4.579799515994878e-4
NA,NA,negative_c,negative_c_, Phaeodactylibacter xiamenensis,3.2583683888828965e-4,5.790272575441457e-4
UV,T6,PS,PS_UV_T6, Actibacter sediminis,3.388128388128388e-4,4.909864493682803e-4
UV,T6,PE,PE_UV_T6, Oleiphilus sp. HI0073,0.0010862252208481361,4.2111019745496713e-4
no UV,T6,PE,PE_no UV_T6, Tenacibaculum aiptasiae,6.29065986326945e-4,6.657989508040988e-4
UV,T6,PE,PE_UV_T6, Flexibacter sp. S4471,7.708188947904134e-4,7.018559738487014e-4
UV,T6,PE,PE_UV_T6, Reichenbachiella sp. DC003,0.001018590168955889,6.278249064962545e-4
UV,T1,PS,PS_UV_T1, Corynebacterium sp. NNC-3,7.423223847732163e-4,7.447763497633067e-4
no UV,T6,PET,PET_no UV_T6, Leclercia adecarboxylata,0.0014407898958675124,0.0023254163655667837
NA,NA,negative_c,negative_c_, Halobacteriovorax marinus SJ,2.4269226620645022e-4,4.212802110176019e-4
no UV,T6,PP,PP_no UV_T6, alpha proteobacterium GMD37C8,0.001674326530745423,0.0011952260323720564
