treatment,timepoint,Material,description,Family,Family_rep_rel_abund,st_dev_Family_abund
UV,T6,PP,PP_UV_T6, Xanthomonadaceae,0.017285455201159677,0.012286367131341557
no UV,T6,PS,PS_no UV_T6, Xanthomonadaceae,0.01923831409375576,0.014561484836482437
NA,NA,negative_c,negative_c_, Corynebacteriaceae,0.006392682051531833,0.007730799920584505
no UV,T6,PE,PE_no UV_T6, Sphingomonadaceae,0.07420693662784912,0.05304355463403635
UV,T6,Nylon,Nylon_UV_T6, Saprospiraceae,0.0510891965571017,0.02426981375845215
UV,T6,PS,PS_UV_T6, Saccharospirillaceae,0.01527777342080299,0.014816124230566838
no UV,T1,PS,PS_no UV_T1, Flavobacteriaceae,0.15013062405676933,0.1288495777194187
NA,NA,negative_c,negative_c_, Hyphomonadaceae,0.031307800741480145,0.040005536297005664
NA,NA,negative_c,negative_c_, Saprospiraceae,0.04054002964868221,0.04385582259589755
no UV,T6,PP,PP_no UV_T6, Phycisphaeraceae,0.01052667379218413,0.004400566852907115
no UV,T1,PE,PE_no UV_T1, Staphylococcaceae,0.017863531333639614,0.017334273937861598
UV,T1,Nylon,Nylon_UV_T1, Weeksellaceae,0.005096829342499585,0.006982841749469147
no UV,T6,PET,PET_no UV_T6, Staphylococcaceae,0.02804306163993495,0.03723149775246025
UV,T1,Nylon,Nylon_UV_T1, Flavobacteriaceae,0.014548018950801734,0.01291897329943229
UV,T6,Nylon,Nylon_UV_T6, Hyphomonadaceae,0.03116834795577868,0.014769652001853057
UV,T6,Nylon,Nylon_UV_T6, Burkholderiaceae,0.019582597383405023,0.01791595057821911
no UV,T6,Nylon,Nylon_no UV_T6, Staphylococcaceae,0.02020876362922804,0.017630057166006012
no UV,T6,PET,PET_no UV_T6, Puniceicoccaceae,0.019839976652564175,0.02172899134751968
no UV,T6,Nylon,Nylon_no UV_T6, Xanthomonadaceae,0.010188440238953204,0.010710249510408595
NA,NA,negative_c,negative_c_, Puniceicoccaceae,0.005100631986261521,0.0070840071803033545
no UV,T6,Nylon,Nylon_no UV_T6, Moraxellaceae,0.024856083795781192,0.0203372317965657
no UV,T1,Nylon,Nylon_no UV_T1, Flavobacteriaceae,0.09330669346538424,0.057159425605105944
UV,T6,PP,PP_UV_T6, Moraxellaceae,0.023530251915117636,0.014881862918176699
no UV,T6,Nylon,Nylon_no UV_T6, Phycisphaeraceae,0.01557264076877952,0.013402040402473905
UV,T6,PE,PE_UV_T6, Spongiibacteraceae,0.05203770326636242,0.008665938015040144
no UV,T6,PS,PS_no UV_T6, Xanthobacteraceae,0.039099461905317316,0.0221723562547597
UV,T6,PS,PS_UV_T6,unassigned,0.047994509466434,0.010263680802629337
UV,T1,PS,PS_UV_T1, Xanthomonadaceae,0.010550986704922681,0.010554016421196159
NA,NA,negative_c,negative_c_, Burkholderiaceae,0.012053666534588533,0.007759764444504104
NA,NA,negative_c,negative_c_, Rhizobiaceae,0.021968135395757656,0.02800420477973945
no UV,T6,PET,PET_no UV_T6, Cyclobacteriaceae,0.021691927231396624,0.0239996315775191
UV,T6,PE,PE_UV_T6, Xanthomonadaceae,0.009486096730644482,0.012789196844020563
no UV,T6,Nylon,Nylon_no UV_T6, Rhodobacteraceae,0.15584832828464515,0.13022922961316952
no UV,T6,PP,PP_no UV_T6, Saprospiraceae,0.03167076464396047,0.006636866497032873
UV,T1,PP,PP_UV_T1, Oleiphilaceae,0.017052270779777206,0.0241161165739947
NA,NA,negative_c,negative_c_, Sphingomonadaceae,0.03139362238864603,0.04276241157929747
UV,T6,PS,PS_UV_T6, Bacteriovoracaceae,0.008000243334351913,0.005716268895022307
no UV,T6,PS,PS_no UV_T6, Arenicellaceae,0.04215146573185228,0.0284252141377097
UV,T6,PS,PS_UV_T6, Cyclobacteriaceae,0.011366941866742445,0.0040789734175927924
UV,T6,Nylon,Nylon_UV_T6, Rhodobacteraceae,0.2073185373425068,0.05283352476586546
no UV,T6,PE,PE_no UV_T6, Chitinophagaceae,0.012441310143113386,0.017082807681667613
no UV,T6,PET,PET_no UV_T6, Sphingomonadaceae,0.03615053650902287,0.022153256847723825
UV,T6,Nylon,Nylon_UV_T6, Sphingomonadaceae,0.03764768494725562,0.016143976915029785
UV,T6,Nylon,Nylon_UV_T6, Puniceicoccaceae,0.020332695799112906,0.015358592391506169
no UV,T1,PE,PE_no UV_T1, NS9 marine group,0.011473216470433877,0.011445246000580786
no UV,T1,PET,PET_no UV_T1, Roseiflexaceae,0.051748009691934924,0.07498999043112915
UV,T1,Nylon,Nylon_UV_T1, Deinococcaceae,0.003489960346829852,0.005041702243063426
no UV,T6,PE,PE_no UV_T6, Flavobacteriaceae,0.06687941136960869,0.047690827865398036
UV,T1,PS,PS_UV_T1, Xanthobacteraceae,0.01300801795458622,0.008362425203755934
NA,NA,negative_c,negative_c_, Neisseriaceae,0.0010492036392975722,0.0014026265836663632
UV,T6,PE,PE_UV_T6, Flavobacteriaceae,0.08418715341286034,0.014109256433454887
UV,T1,PET,PET_UV_T1, Propionibacteriaceae,0.06430377519203909,0.038913523031115026
UV,T6,PE,PE_UV_T6, Saccharospirillaceae,0.040253938679990574,0.01234227910675833
UV,T6,PS,PS_UV_T6, Crocinitomicaceae,0.014638876894472906,0.0109213406776854
UV,T1,PS,PS_UV_T1, Burkholderiaceae,0.008514456942224764,0.00788456313714178
NA,NA,negative_c,negative_c_, Peptostreptococcaceae,6.020796744857327e-4,0.0010444456308216974
UV,T6,PET,PET_UV_T6, Hyphomonadaceae,0.04606411605313078,0.012611713580588983
NA,NA,negative_c,negative_c_, Rhodobacteraceae,0.07861626121805206,0.07766476989816525
no UV,T6,PP,PP_no UV_T6, Beijerinckiaceae,0.01859536110333036,0.022744385054469587
no UV,T6,PP,PP_no UV_T6, Xanthomonadaceae,0.009545159717534689,0.009890579504058352
no UV,T6,Nylon,Nylon_no UV_T6, Hyphomonadaceae,0.034474506357049677,0.032077109739191194
no UV,T6,PS,PS_no UV_T6, Saprospiraceae,0.050115532597574834,0.0303792197118533
NA,NA,negative_c,negative_c_, Lactobacillaceae,0.0039811898657441626,0.005016759685740393
NA,NA,negative_c,negative_c_, Enterococcaceae,0.001258983391133324,0.002132755741201943
UV,T6,PS,PS_UV_T6, NS9 marine group,0.01076075452801003,0.007630938364852171
UV,T6,PP,PP_UV_T6, Saprospiraceae,0.0371403749615736,0.011313442451705262
no UV,T1,PP,PP_no UV_T1, Oleiphilaceae,0.03436537713250277,0.028403925454582365
no UV,T6,PP,PP_no UV_T6, Rubritaleaceae,0.008648237045162013,0.006206592001601023
no UV,T6,PET,PET_no UV_T6, Spongiibacteraceae,0.025378151512916208,0.03384088280308223
no UV,T6,PET,PET_no UV_T6, Corynebacteriaceae,0.021320299826490238,0.0230092093825553
no UV,T6,Nylon,Nylon_no UV_T6, Beijerinckiaceae,0.012483134850078296,0.005189199013982537
UV,T1,PET,PET_UV_T1, Xanthobacteraceae,0.04131473063760673,0.03326430983328438
no UV,T6,Nylon,Nylon_no UV_T6,unassigned,0.041774694107340304,0.012535788976374944
no UV,T6,Nylon,Nylon_no UV_T6, Crocinitomicaceae,0.01477086845160624,0.009746497889495285
no UV,T6,PS,PS_no UV_T6,unassigned,0.06878074546044868,0.02834866501221532
no UV,T1,PS,PS_no UV_T1, Propionibacteriaceae,0.09118565945474183,0.10610861233709645
no UV,T1,PET,PET_no UV_T1,unassigned,0.12128933600866976,0.03691171556145789
no UV,T6,PET,PET_no UV_T6, Moraxellaceae,0.03877086043061184,0.0335858495421549
UV,T6,PE,PE_UV_T6, Oleiphilaceae,0.077376934647055,0.010027075130041608
no UV,T6,PE,PE_no UV_T6, Xanthomonadaceae,0.028369043058981348,0.03475259725905903
no UV,T1,PP,PP_no UV_T1, NS7 marine group,0.023883097027966167,0.025745424032856467
no UV,T6,PET,PET_no UV_T6, Oleiphilaceae,0.025246529815519596,0.03271085006739583
no UV,T1,PP,PP_no UV_T1, Lentisphaeraceae,0.02021962494423688,0.023943939974255295
UV,T1,Nylon,Nylon_UV_T1, Streptococcaceae,0.01285432702133336,0.01195735814451962
no UV,T6,PP,PP_no UV_T6, Cyanobacteriaceae,0.005768180176810112,0.006384680694221722
no UV,T6,Nylon,Nylon_no UV_T6, Arenicellaceae,0.004478014186516282,0.0051860062554489605
no UV,T6,PE,PE_no UV_T6, Propionibacteriaceae,0.028787912604963613,0.017508573881515083
no UV,T6,PET,PET_no UV_T6, Xanthobacteraceae,0.033847227889941406,0.0311136833998693
no UV,T6,Nylon,Nylon_no UV_T6, Micrococcaceae,0.004506787444201429,0.004422240680908881
UV,T6,Nylon,Nylon_UV_T6,unassigned,0.048630767434690615,0.020441897058522677
no UV,T1,Nylon,Nylon_no UV_T1, Xanthobacteraceae,0.06188967614393618,0.035333776316454256
no UV,T6,Nylon,Nylon_no UV_T6, Phormidesmiaceae,0.006240434843752947,0.005684594534079267
UV,T1,PS,PS_UV_T1, Halomonadaceae,0.024455044775112643,0.013839156469317458
no UV,T6,PET,PET_no UV_T6, Phormidesmiaceae,0.00884850906769488,0.006554637697272798
UV,T6,PE,PE_UV_T6, Sphingomonadaceae,0.04876529825082215,0.020982846629581095
UV,T6,Nylon,Nylon_UV_T6, Micavibrionaceae,0.007256262043537155,0.007280864870902688
UV,T6,PS,PS_UV_T6, Saprospiraceae,0.030210305203361057,0.014408188363451563
UV,T6,PP,PP_UV_T6, Tepidisphaeraceae,0.002706512920772985,0.003961929235227757
UV,T6,PET,PET_UV_T6, Phormidesmiaceae,0.017971954858085254,0.020229612535496662
UV,T6,PET,PET_UV_T6, Flavobacteriaceae,0.1358092554218725,0.043889046466308326
no UV,T6,Nylon,Nylon_no UV_T6, Chitinophagaceae,0.001955679415251855,0.002770278656071357
UV,T6,PP,PP_UV_T6, Beijerinckiaceae,0.009412529444319478,0.0062138189182574894
no UV,T1,Nylon,Nylon_no UV_T1, Flammeovirgaceae,0.011553600023945284,0.016362582996087015
UV,T6,PP,PP_UV_T6, Cyanobacteriaceae,0.005053666685344027,0.0048313415030845994
no UV,T6,PS,PS_no UV_T6, Moraxellaceae,0.04791169042249959,0.03896488434539314
no UV,T6,Nylon,Nylon_no UV_T6, Saprospiraceae,0.03263741479864876,0.021178539620231477
no UV,T6,PET,PET_no UV_T6,unassigned,0.05751489367612633,0.018982467612747873
NA,NA,negative_c,negative_c_, NS9 marine group,0.0026536099271443087,0.004018488849389281
UV,T6,PP,PP_UV_T6, Rubritaleaceae,0.0132154487036119,0.0041342646529094465
no UV,T6,PP,PP_no UV_T6, Arenicellaceae,0.01636083748050107,0.013186554824326336
UV,T1,PP,PP_UV_T1, Micrococcaceae,0.007494801282150486,0.005981189251129356
UV,T1,Nylon,Nylon_UV_T1, Oligoflexaceae,0.0022925429174865063,0.0032681870321800504
no UV,T6,PE,PE_no UV_T6, Staphylococcaceae,0.012378743199314564,0.015006681089703752
no UV,T1,PS,PS_no UV_T1, Halomonadaceae,0.03774462323358622,0.04955555250824807
no UV,T6,PS,PS_no UV_T6, Corynebacteriaceae,0.03569286046707339,0.03062988105570769
no UV,T6,PE,PE_no UV_T6, Beijerinckiaceae,0.01679350534817521,0.02152945534373466
UV,T1,PP,PP_UV_T1, Peptostreptococcaceae,0.0043320955917356945,0.006139153364834768
no UV,T6,PP,PP_no UV_T6, Puniceicoccaceae,0.010209093337054198,0.0019117132381675486
no UV,T6,PP,PP_no UV_T6, Rhodobacteraceae,0.04351171477576781,0.02674371473434446
UV,T6,PS,PS_UV_T6, Xanthobacteraceae,0.008993294837787805,0.0061829532711602
UV,T1,PP,PP_UV_T1, Rhodobacteraceae,0.009481531096905289,0.008415393573834586
UV,T6,Nylon,Nylon_UV_T6, Spongiibacteraceae,0.013523374713202078,0.010729896488311859
UV,T1,Nylon,Nylon_UV_T1, Xanthomonadaceae,0.017448894055383392,0.015283266434594097
no UV,T6,Nylon,Nylon_no UV_T6, SAR116 clade,0.0014789825577842155,0.0020957104645183246
no UV,T1,PET,PET_no UV_T1, Propionibacteriaceae,0.11416008881006015,0.06147120506315528
UV,T6,PE,PE_UV_T6, Xanthobacteraceae,0.0101320430114526,0.01043348608879215
UV,T1,PS,PS_UV_T1, Beijerinckiaceae,0.004904332160074733,0.004906571070102371
UV,T6,PS,PS_UV_T6, Corynebacteriaceae,0.005411751605109993,0.005620954813102093
UV,T6,PS,PS_UV_T6, Synechococcales Incertae Sedis,0.004690340800910089,0.004545098173367403
NA,NA,negative_c,negative_c_, Spongiibacteraceae,0.004255832523506275,0.005189822436799703
UV,T6,PET,PET_UV_T6, Sphingomonadaceae,0.02156601664595497,0.00901474927022296
UV,T6,PP,PP_UV_T6, Halieaceae,0.0249278251541172,0.012599926512394182
no UV,T6,PE,PE_no UV_T6, Oleiphilaceae,0.043084910075962164,0.03129583466903465
UV,T6,PP,PP_UV_T6, Flavobacteriaceae,0.055881393278009325,0.017521969570421476
no UV,T1,Nylon,Nylon_no UV_T1, Micrococcaceae,0.017788933532404582,0.020676236089502316
NA,NA,negative_c,negative_c_, Arenicellaceae,0.005002541974448272,0.00551055663269739
NA,NA,negative_c,negative_c_, Halomonadaceae,5.013557412210062e-4,6.90115973405617e-4
no UV,T6,PS,PS_no UV_T6, Acetobacteraceae,0.006031505349170247,0.008605658927815526
no UV,T6,PET,PET_no UV_T6, Streptococcaceae,0.03602083153478525,0.04147168470065231
no UV,T6,Nylon,Nylon_no UV_T6, Cryomorphaceae,0.004369412402071649,0.003692784111101062
UV,T6,PE,PE_UV_T6, Micavibrionaceae,0.0139684348847896,0.01918065713800417
UV,T6,PP,PP_UV_T6, Cyclobacteriaceae,0.019039666656521993,0.00664507191622619
UV,T1,Nylon,Nylon_UV_T1, Xanthobacteraceae,0.06551506446006926,0.05838139204329572
UV,T6,PE,PE_UV_T6, Rhodobacteraceae,0.11956856945910657,0.009969662119932785
UV,T6,PE,PE_UV_T6, Microtrichaceae,0.01490431916725572,0.010620699881510928
no UV,T1,PE,PE_no UV_T1, Flavobacteriaceae,0.025933013495489144,0.015109548137641864
no UV,T6,PS,PS_no UV_T6, Oleiphilaceae,0.014910098229015543,0.009368808409667103
no UV,T6,PP,PP_no UV_T6, Microtrichaceae,0.007231841036614762,0.005216831197305573
UV,T6,PP,PP_UV_T6, Rhizobiaceae,0.024626167656652292,0.009186611338055024
no UV,T6,Nylon,Nylon_no UV_T6, Flavobacteriaceae,0.04980778302401935,0.027764846793444754
no UV,T6,PE,PE_no UV_T6, Micavibrionaceae,0.025812577586265605,0.018361147652951083
no UV,T6,PP,PP_no UV_T6, Rhizobiaceae,0.011600598532649525,0.008403529377574163
UV,T6,PP,PP_UV_T6, Micrococcaceae,0.0053960795092960175,0.0053851733810288205
NA,NA,negative_c,negative_c_, Mycobacteriaceae,5.417984893698651e-4,8.757750538356022e-4
UV,T6,PS,PS_UV_T6, Solibacteraceae (Subgroup 3),0.0018001251779354505,0.002572701465339685
UV,T1,Nylon,Nylon_UV_T1, Staphylococcaceae,0.0307867248179418,0.0211735259678782
no UV,T6,Nylon,Nylon_no UV_T6, Magnetospiraceae,0.0013934215833669467,0.001987225495718317
UV,T6,PE,PE_UV_T6, Phycisphaeraceae,0.0054583844835507924,0.00330727022389171
NA,NA,negative_c,negative_c_, Xenococcaceae,0.0018109134484237017,0.0026314526692456626
NA,NA,negative_c,negative_c_, mle1-27,2.630023126814933e-4,4.58560201158446e-4
NA,NA,negative_c,negative_c_, 0319-6G20,5.871086625807101e-4,9.883328502073544e-4
UV,T6,Nylon,Nylon_UV_T6, Moraxellaceae,0.02062284631646219,0.019480088167919716
UV,T1,PP,PP_UV_T1, Sphingomonadaceae,0.005288365359352771,0.0017259626904716475
no UV,T6,PS,PS_no UV_T6, Sphingomonadaceae,0.045860716573425886,0.030766152609535212
UV,T1,PE,PE_UV_T1, Staphylococcaceae,0.01355998802685376,0.010158098342713319
no UV,T6,PET,PET_no UV_T6, Crocinitomicaceae,0.012580821220033215,0.008531709999586527
UV,T1,PE,PE_UV_T1, Microscillaceae,0.0061432830427319545,0.0062415818130005995
NA,NA,negative_c,negative_c_, Listeriaceae,3.3957406913163465e-4,5.795696220266428e-4
no UV,T6,PET,PET_no UV_T6, Saprospiraceae,0.02203242621021351,0.015981809251990334
no UV,T6,Nylon,Nylon_no UV_T6, Clostridiaceae 1,0.0014178769439420168,0.001974659447218286
UV,T1,PP,PP_UV_T1, Rubritaleaceae,0.005931638579453489,0.008391160837550465
no UV,T6,PE,PE_no UV_T6, Rhizobiaceae,0.022183507385402597,0.015753716073915805
no UV,T6,PE,PE_no UV_T6,unassigned,0.04103088191924391,0.006232812558489002
UV,T6,PE,PE_UV_T6, Flammeovirgaceae,0.003669737857560063,0.0021432376612440856
no UV,T1,PE,PE_no UV_T1, Pseudomonadaceae,0.004340464814301581,0.005262210351821129
UV,T6,PE,PE_UV_T6, Arenicellaceae,0.019615026573914774,0.005520794440471442
no UV,T6,PE,PE_no UV_T6, Microtrichaceae,0.011646641536415162,0.008244450958277902
UV,T1,PP,PP_UV_T1, Leuconostocaceae,0.0015270300053524765,0.0021667812257730712
UV,T6,PS,PS_UV_T6, Rhizobiaceae,0.011289638561733071,0.005993668732018078
NA,NA,negative_c,negative_c_, Crocinitomicaceae,0.0023903999851731398,0.003951658479370355
UV,T6,PET,PET_UV_T6, Xenococcaceae,0.00468342739583537,0.005806324986072159
no UV,T1,PP,PP_no UV_T1, Prevotellaceae,0.005785264590777607,0.008204421446860758
no UV,T6,PP,PP_no UV_T6, Saccharospirillaceae,0.011691744141465751,0.008590803125262567
UV,T6,PP,PP_UV_T6, A4b,0.0017289763130245112,0.002453333203497278
UV,T6,PS,PS_UV_T6, Acaryochloridaceae,0.0013162513162513162,0.0018840244438940335
no UV,T6,PP,PP_no UV_T6, Cyclobacteriaceae,0.01493798191106278,0.004539878689133382
UV,T6,PP,PP_UV_T6, Crocinitomicaceae,0.012047557081876843,0.010123500051784546
UV,T1,PE,PE_UV_T1, Xanthobacteraceae,0.037040254047903065,0.003162447633334794
no UV,T6,PS,PS_no UV_T6, Cyclobacteriaceae,0.019181351899308217,0.025491585557056724
UV,T6,PS,PS_UV_T6, NS7 marine group,0.002470737283509675,0.002155489293775106
UV,T6,PP,PP_UV_T6, Burkholderiaceae,0.022823874606426754,0.014569803798766181
NA,NA,negative_c,negative_c_, Alteromonadaceae,0.006296478710872622,0.00831846296629036
