treatment,timepoint,Material,description,Genus,Genus_rep_rel_abund,st_dev_Genus_abund
no UV,T6,PE,PE_no UV_T6,unassigned,0.2764894308673015,0.16609809573815645
no UV,T6,PP,PP_no UV_T6, Aureicoccus,0.017775453237910344,0.0188896537826553
no UV,T6,PS,PS_no UV_T6, Fluviicola,0.025529355230797034,0.022112559257580912
no UV,T1,Nylon,Nylon_no UV_T1,unassigned,0.12069991850168901,0.012690225994389605
no UV,T1,Nylon,Nylon_no UV_T1, Cutibacterium,0.17319564347289948,0.11515542542745309
no UV,T6,PP,PP_no UV_T6, BD1-7 clade,0.03271883749518787,0.019199800530371184
UV,T1,PS,PS_UV_T1, Finegoldia,0.016364455268820792,0.016473190387065476
no UV,T1,PET,PET_no UV_T1, Enhydrobacter,0.35459486244638244,0.07133915477485737
no UV,T6,PS,PS_no UV_T6,unassigned,0.2218490312919007,0.07125843745077076
NA,NA,negative_c,negative_c_, Asinibacterium,7.730674039425713e-4,0.0013446062682388028
UV,T6,PP,PP_UV_T6, Haemophilus,0.0071021027011929925,0.010070567006949565
no UV,T6,PET,PET_no UV_T6, Citreitalea,0.0076484529077379465,0.011297513665184122
no UV,T6,PET,PET_no UV_T6, Aureicoccus,0.021159964452952016,0.019007857359820145
no UV,T6,Nylon,Nylon_no UV_T6, Delftia,0.06140236110934013,0.07344137648498994
UV,T6,PP,PP_UV_T6, Stenotrophomonas,0.016588239928734875,0.012157446748817009
no UV,T6,PS,PS_no UV_T6, Stenotrophomonas,0.01846455914674527,0.014489782432399777
NA,NA,negative_c,negative_c_, Lawsonella,7.198354062703826e-4,0.0012377310274195859
no UV,T6,PE,PE_no UV_T6, Erythrobacter,0.056632930004283745,0.046361370077191946
UV,T6,Nylon,Nylon_UV_T6, Aureispira,0.014673898664575228,0.009433253593429178
UV,T6,PS,PS_UV_T6, Oleibacter,0.01252793342477473,0.014732505402888504
no UV,T1,PS,PS_no UV_T1, Tenacibaculum,0.08456623075181895,0.11499804721648171
NA,NA,negative_c,negative_c_, Sediminibacterium,6.028041987630921e-4,0.0010665435629281887
no UV,T6,PP,PP_no UV_T6, Urania-1B-19 marine sediment group,0.007947487438144728,0.004432568036328851
no UV,T1,PE,PE_no UV_T1, Staphylococcus,0.01748127688411057,0.01760129273459106
UV,T1,Nylon,Nylon_UV_T1, Moheibacter,0.005096829342499585,0.0071977485250085274
no UV,T6,PET,PET_no UV_T6, Staphylococcus,0.027172977614677653,0.037838989745318505
UV,T1,Nylon,Nylon_UV_T1, Aureicoccus,0.010921169016372727,0.015448108356303229
UV,T6,Nylon,Nylon_UV_T6,unassigned,0.2837306933616492,0.06296443315493298
UV,T6,Nylon,Nylon_UV_T6, Alcaligenes,0.010942598465002987,0.01549036524113474
NA,NA,negative_c,negative_c_, Capnocytophaga,6.028041987630922e-4,0.0010573885131942367
no UV,T6,Nylon,Nylon_no UV_T6, Staphylococcus,0.02020876362922804,0.01763024422529254
UV,T6,PS,PS_UV_T6, Aquibacter,0.011034742396135963,0.004016730750446098
no UV,T6,PET,PET_no UV_T6, Lentimonas,0.01942592190104517,0.021972012587016216
NA,NA,negative_c,negative_c_, Winogradskyella,0.017903571838477152,0.020568344129423544
NA,NA,negative_c,negative_c_, Psychroserpens,0.0038022914718136213,0.006604990557518483
no UV,T6,Nylon,Nylon_no UV_T6, Stenotrophomonas,0.01014864104588794,0.01068581065101948
NA,NA,negative_c,negative_c_, Lentimonas,0.00453617224718635,0.0061876915320331705
no UV,T6,Nylon,Nylon_no UV_T6, Enhydrobacter,0.022788012583664283,0.01799100660555004
no UV,T1,Nylon,Nylon_no UV_T1, Tenacibaculum,0.07471977224002115,0.05332781652373841
NA,NA,negative_c,negative_c_, Pseudofulvibacter,0.0050050067021386565,0.007556633186780683
UV,T6,PP,PP_UV_T6, Enhydrobacter,0.017039624783118736,0.010291595801774581
no UV,T6,Nylon,Nylon_no UV_T6, Phycisphaera,0.010900772265978843,0.015553053962508695
UV,T6,PE,PE_UV_T6, BD1-7 clade,0.05186715024875085,0.008691193813895826
no UV,T6,PS,PS_no UV_T6, Bradyrhizobium,0.02792557148130031,0.01544780062607844
NA,NA,negative_c,negative_c_, Lactococcus,5.824036105220444e-4,0.001008514076479543
UV,T1,PS,PS_UV_T1, Stenotrophomonas,0.010525964602065157,0.01052922694976539
NA,NA,negative_c,negative_c_, Pseudahrensia,0.011091058423812663,0.014856666052850853
UV,T6,PE,PE_UV_T6, Stenotrophomonas,0.009378765023691955,0.012664735754766024
no UV,T6,Nylon,Nylon_no UV_T6,unassigned,0.21428482059095078,0.11546184170929173
UV,T1,PP,PP_UV_T1, Oleiphilus,0.017052270779777206,0.0241161165739947
NA,NA,negative_c,negative_c_, Sphingorhabdus,0.007901356812917228,0.01368204449511438
UV,T6,PS,PS_UV_T6, Peredibacter,0.007824743158851738,0.005742020682148254
NA,NA,negative_c,negative_c_, Ralstonia,0.0021215710338733404,0.0028640094004751247
no UV,T6,Nylon,Nylon_no UV_T6, Thalassococcus,0.01701920056431387,0.02018237505587496
no UV,T6,PS,PS_no UV_T6, Arenicella,0.023899010335674886,0.0254995464071469
UV,T6,PS,PS_UV_T6, Pseudofulvibacter,0.02174091864059783,0.011649316560907544
NA,NA,negative_c,negative_c_, Corynebacterium 1,0.003997711435562602,0.0048548348152909595
UV,T6,PS,PS_UV_T6, Reichenbachiella,0.006812371157381346,0.005414428643733617
NA,NA,negative_c,negative_c_, Turicella,0.0016252887046560747,0.0017345127854383046
UV,T6,Nylon,Nylon_UV_T6, Paracoccus,0.003805470739038469,0.004606275143338399
no UV,T6,PE,PE_no UV_T6, Asinibacterium,0.012198954445734867,0.017319863063814944
UV,T6,Nylon,Nylon_UV_T6, Erythrobacter,0.029157553460364742,0.015206327038757439
UV,T6,Nylon,Nylon_UV_T6, Lentimonas,0.01928774778634161,0.014855378474090615
no UV,T1,PET,PET_no UV_T1,unassigned,0.20462831696207529,0.11116640255462756
UV,T6,PS,PS_UV_T6, Tenacibaculum,0.02470039526018552,0.004189863104098644
no UV,T6,Nylon,Nylon_no UV_T6, Aestuariivita,0.0229663403689939,0.028241891616125822
NA,NA,negative_c,negative_c_, Muricauda,0.010916989966921056,0.014262389314223703
UV,T1,Nylon,Nylon_UV_T1, Deinococcus,0.003489960346829852,0.005041702243063426
no UV,T6,PE,PE_no UV_T6, Aureicoccus,0.018838256890400078,0.013352250033925506
UV,T1,PS,PS_UV_T1, Bradyrhizobium,0.012646716303359994,0.008173702747190892
UV,T6,PS,PS_UV_T6, Erythrobacter,0.019207600263012502,0.010898655795195725
UV,T6,PE,PE_UV_T6, Pseudofulvibacter,0.01825573960429348,0.006268359980271251
UV,T1,PET,PET_UV_T1, Cutibacterium,0.06430377519203909,0.03891355053147494
UV,T6,PE,PE_UV_T6, Oleibacter,0.03830795482142843,0.01262443567818938
UV,T6,PS,PS_UV_T6, Fluviicola,0.013776464049865142,0.010308400828240761
UV,T6,PET,PET_UV_T6,unassigned,0.2901959169236756,0.0655066068055007
NA,NA,negative_c,negative_c_, Tateyamaria,0.004983027919713525,0.007611507356601002
no UV,T6,PP,PP_no UV_T6, Methylobacterium,0.01842878791656803,0.022822251131866512
no UV,T6,PP,PP_no UV_T6, Stenotrophomonas,0.009237155760146413,0.009719833929691175
NA,NA,negative_c,negative_c_, Acinetobacter,0.003906907133319476,0.005153013493149612
UV,T6,PS,PS_UV_T6, Halioglobus,0.0031890241638829007,0.001860589501321153
NA,NA,negative_c,negative_c_, Lactobacillus,0.0039811898657441626,0.005016759685740393
NA,NA,negative_c,negative_c_, Enterococcus,0.0012548640624191313,0.002126068648939727
UV,T6,PP,PP_UV_T6, Phaeodactylibacter,0.004835472338997627,0.005887705885207719
no UV,T1,PP,PP_no UV_T1, Oleiphilus,0.03436537713250277,0.028403925454582365
no UV,T6,PS,PS_no UV_T6, Aureicoccus,0.024396854502613464,0.023108703346106905
no UV,T6,PP,PP_no UV_T6, Rubritalea,0.007837889636757477,0.005691209756462424
no UV,T6,PET,PET_no UV_T6, BD1-7 clade,0.025339634791844673,0.03378681726185059
no UV,T6,PET,PET_no UV_T6, Turicella,0.017759481764471265,0.022612007384798148
no UV,T6,Nylon,Nylon_no UV_T6, Methylobacterium,0.012344598190280201,0.005047344248559408
no UV,T6,PP,PP_no UV_T6, Pseudofulvibacter,0.014520216715669183,0.009197177888109906
UV,T1,PET,PET_UV_T1, Bradyrhizobium,0.03972004033952098,0.0318677310835544
no UV,T6,Nylon,Nylon_no UV_T6, Fluviicola,0.013183260705874417,0.010238584840713577
NA,NA,negative_c,negative_c_, Erythrobacter,0.011818175852899815,0.015135403739736809
no UV,T6,PET,PET_no UV_T6, Erythrobacter,0.0238748147142222,0.019096494759914262
no UV,T1,PS,PS_no UV_T1, Cutibacterium,0.08818703720010207,0.10189773831819389
no UV,T6,PET,PET_no UV_T6, Enhydrobacter,0.028530454595950938,0.022766462246024563
UV,T6,PE,PE_UV_T6, Oleiphilus,0.077376934647055,0.010027075130041608
no UV,T6,PE,PE_no UV_T6, Stenotrophomonas,0.028305272112351707,0.03471850688829139
no UV,T6,PET,PET_no UV_T6, Oleiphilus,0.025246529815519596,0.03271085006739583
no UV,T6,PE,PE_no UV_T6, Pseudofulvibacter,0.02393853098000256,0.017687400757906348
no UV,T1,PP,PP_no UV_T1, Lentisphaera,0.02021962494423688,0.023943939974255295
UV,T6,PE,PE_UV_T6, Aureicoccus,0.016578230245243377,0.0012396930880023164
UV,T1,Nylon,Nylon_UV_T1, Streptococcus,0.011071190785256247,0.009645407705504708
NA,NA,negative_c,negative_c_, Dokdonia,0.004287628523831374,0.007022414596062946
no UV,T6,PP,PP_no UV_T6, Symphothece PCC-7002,0.005768180176810112,0.006385118265859931
no UV,T6,Nylon,Nylon_no UV_T6, HTCC5015,0.0032920603490072895,0.004658652217858128
no UV,T6,PE,PE_no UV_T6, Cutibacterium,0.02860380315506995,0.017707395513778708
UV,T6,PS,PS_UV_T6, HTCC5015,0.016321358517320316,0.006584902704956131
no UV,T6,PET,PET_no UV_T6, Bradyrhizobium,0.03225843285425505,0.02959057820945813
UV,T6,Nylon,Nylon_UV_T6, Parapusillimonas,0.0018888735695574246,0.003271624991547445
no UV,T6,Nylon,Nylon_no UV_T6, Micrococcus,0.003989080280876685,0.004551630477149285
UV,T6,PS,PS_UV_T6, Loktanella,0.009492639750418863,0.006251712870130113
no UV,T1,Nylon,Nylon_no UV_T1, Bradyrhizobium,0.05748931300553387,0.03498713761988625
no UV,T6,Nylon,Nylon_no UV_T6, Phormidium MBIC10003,0.0037994602483509858,0.00538133436980454
UV,T1,PS,PS_UV_T1, Halomonas,0.019836570879530314,0.009237512892698896
no UV,T6,PET,PET_no UV_T6, Phormidium MBIC10003,0.004198322596797334,0.005946259786631013
UV,T6,PE,PE_UV_T6, Erythrobacter,0.03618209302719567,0.015295556361167422
UV,T6,PS,PS_UV_T6, Phaeodactylibacter,0.0015868140868140867,0.002248308267286851
UV,T6,PET,PET_UV_T6, Phormidium MBIC10003,0.005160773905441982,0.007309419806194495
UV,T6,PET,PET_UV_T6, Aureicoccus,0.042661740094961244,0.0072122042624501205
no UV,T6,Nylon,Nylon_no UV_T6, Asinibacterium,0.001951605083136747,0.0027754486065056784
UV,T6,PP,PP_UV_T6, Methylobacterium,0.008720178105505681,0.006116868263967592
no UV,T1,Nylon,Nylon_no UV_T1, Flexithrix,0.011553600023945284,0.016552851983585044
UV,T6,PP,PP_UV_T6, Symphothece PCC-7002,0.005053666685344027,0.00483167261721818
no UV,T6,PS,PS_no UV_T6, Acinetobacter,0.02252894752629748,0.027415955269291865
UV,T6,PP,PP_UV_T6, Aestuariivita,0.011052634741252279,0.006509619628864276
no UV,T6,Nylon,Nylon_no UV_T6, Aureispira,0.00450359837716419,0.003266844998401333
UV,T6,Nylon,Nylon_UV_T6, Tenacibaculum,0.008438289240442801,0.005206118768499803
UV,T6,PS,PS_UV_T6, Aureispira,9.043134043134043e-4,0.0012800522742529286
NA,NA,negative_c,negative_c_, Marixanthomonas,0.0024578054587194964,0.0042689185522133
UV,T6,PP,PP_UV_T6, Roseibacillus,0.0045105013068798445,0.004796756953306344
no UV,T6,PP,PP_no UV_T6, Arenicella,0.014888801625999665,0.012427928016077542
UV,T1,PP,PP_UV_T1, Micrococcus,0.004015140757995179,0.0029853476502916996
NA,NA,negative_c,negative_c_, Hyphomonas,0.005084602146296369,0.008629264978697891
NA,NA,negative_c,negative_c_, Aquibacter,0.010061473473283695,0.013628904678559449
no UV,T6,PE,PE_no UV_T6, Staphylococcus,0.012311422172264976,0.015047054174033646
no UV,T1,PS,PS_no UV_T1, Cobetia,0.03774462323358622,0.0496188772557606
no UV,T6,PS,PS_no UV_T6, Turicella,0.02138487427509772,0.029444553019191372
no UV,T6,PE,PE_no UV_T6, Methylobacterium,0.01672618432112562,0.021575293710839005
no UV,T6,PP,PP_no UV_T6, Coraliomargarita,0.004264426555813691,0.0029326041949237717
UV,T6,PS,PS_UV_T6, Bradyrhizobium,0.006846126916767593,0.006746628168652037
no UV,T6,PS,PS_no UV_T6, Corynebacterium 1,0.013322509490285891,0.013041681230366574
UV,T6,Nylon,Nylon_UV_T6, Thalassococcus,0.005208755427797461,0.002101064698810694
UV,T1,PP,PP_UV_T1, Paracoccus,0.0024195268987227793,0.0032441556938969463
UV,T6,Nylon,Nylon_UV_T6, BD1-7 clade,0.013230969563263592,0.010683188337862647
UV,T1,Nylon,Nylon_UV_T1, Stenotrophomonas,0.0168457577465776,0.014507301794124659
UV,T6,Nylon,Nylon_UV_T6, Pseudofulvibacter,0.006410172781061229,0.006115044642692041
no UV,T6,PS,PS_no UV_T6, NS5 marine group,0.0067173490723196425,0.009461999426307712
no UV,T1,PET,PET_no UV_T1, Cutibacterium,0.11135896836188088,0.05967562306304586
UV,T6,PE,PE_UV_T6, Bradyrhizobium,0.008637468480740382,0.009203588595974973
no UV,T6,PS,PS_no UV_T6, Afipia,0.009020645722058162,0.010752454597656275
UV,T1,PS,PS_UV_T1, Methylobacterium,0.004904332160074733,0.004906728608866696
UV,T6,PS,PS_UV_T6, Turicella,0.0037331826767030567,0.005283098120313576
no UV,T6,PET,PET_no UV_T6, Aquibacter,0.009137708113471218,0.007981296015988858
UV,T6,PS,PS_UV_T6, Schizothrix LEGE 07164,0.004690340800910089,0.004545098173367403
NA,NA,negative_c,negative_c_, BD1-7 clade,0.003899028006801277,0.004966609722970275
UV,T6,PET,PET_UV_T6, Altererythrobacter,0.003633606117096906,0.0051411793128322975
UV,T6,PP,PP_UV_T6, OM60(NOR5) clade,0.006332596149012245,5.246934176677446e-4
no UV,T6,PE,PE_no UV_T6, Oleiphilus,0.043084910075962164,0.03129583466903465
UV,T6,PP,PP_UV_T6, Aureicoccus,0.00816387599445778,0.0029203309895503523
no UV,T1,Nylon,Nylon_no UV_T1, Micrococcus,0.017026083468946566,0.01996311159552432
NA,NA,negative_c,negative_c_, Arenicella,0.004525601118584194,0.005047107037448811
NA,NA,negative_c,negative_c_, Halomonas,4.670260780530512e-4,7.090918790698202e-4
no UV,T6,PS,PS_no UV_T6, Acetobacter,0.006031505349170247,0.00904725802375537
no UV,T6,PS,PS_no UV_T6, Algitalea,0.005273355235447729,0.007585140933279011
no UV,T6,PET,PET_no UV_T6, Streptococcus,0.03590832403975393,0.04147408537869971
no UV,T6,PS,PS_no UV_T6, Enhydrobacter,0.02472118940170158,0.013323281169175707
UV,T6,PP,PP_UV_T6, Ekhidna,0.004302364414406974,0.003173820686093809
UV,T1,Nylon,Nylon_UV_T1, Afipia,0.005234175124052086,0.004980534461220782
UV,T6,PE,PE_UV_T6, Aestuariivita,0.011655206704621343,0.0032068621617987185
UV,T6,PS,PS_UV_T6, Maritimimonas,7.557252676437948e-4,0.0010562784916407259
UV,T6,PE,PE_UV_T6, Sva0996 marine group,0.01490431916725572,0.010621161086262494
no UV,T1,PE,PE_no UV_T1, Zeaxanthinibacter,0.008531422662624985,0.009256360339489447
no UV,T6,PS,PS_no UV_T6, Oleiphilus,0.014910098229015543,0.009368808409667103
no UV,T6,PP,PP_no UV_T6, Sva0996 marine group,0.007231841036614762,0.005217057738622356
UV,T6,PP,PP_UV_T6, Pseudahrensia,0.018020816833268248,0.004553085336996226
UV,T1,Nylon,Nylon_UV_T1, Bradyrhizobium,0.0560745591554815,0.05498927268795918
UV,T6,Nylon,Nylon_UV_T6, Epibacterium,0.0036964025086620262,0.003150778379815818
no UV,T6,Nylon,Nylon_no UV_T6, Winogradskyella,0.0073589121542168515,0.006594388118509778
no UV,T6,PET,PET_no UV_T6, Pseudofulvibacter,0.01582763463225288,0.011469337882203673
no UV,T6,PP,PP_no UV_T6, Pseudahrensia,0.008110711276399589,0.0061430010421967916
UV,T6,PP,PP_UV_T6, Micrococcus,0.0040130494729965676,0.0049498785694296376
NA,NA,negative_c,negative_c_, Mycobacterium,5.417984893698651e-4,8.757750538356022e-4
no UV,T6,PP,PP_no UV_T6, Lentimonas,0.005609377206665168,0.0036955876999832673
UV,T6,PS,PS_UV_T6, Paludibaculum,0.0018001251779354505,0.002579040780409079
UV,T1,Nylon,Nylon_UV_T1, Staphylococcus,0.029727702367869292,0.022383145356044663
no UV,T6,Nylon,Nylon_no UV_T6, Magnetospira,0.0013934215833669467,0.0020042835381663226
UV,T6,PE,PE_UV_T6, Urania-1B-19 marine sediment group,0.00488578786065362,0.003708660743874548
UV,T6,Nylon,Nylon_UV_T6, Winogradskyella,0.010991436949551021,0.0035615143939039377
no UV,T6,PS,PS_no UV_T6, Winogradskyella,0.007829582307439284,0.0049721037140469234
UV,T6,PS,PS_UV_T6, Portibacter,0.0031394112155474782,0.003245008243368557
NA,NA,negative_c,negative_c_, Chroococcidiopsis PCC-6712,9.311552253672452e-4,0.001538084562924832
UV,T6,Nylon,Nylon_UV_T6, Acinetobacter,0.015485286198432313,0.02164712576231375
UV,T6,PP,PP_UV_T6, Thalassobius,0.010875458833050371,0.009625572503011234
UV,T6,Nylon,Nylon_UV_T6, Loktanella,0.00901020667084364,0.005427946912277541
no UV,T6,PS,PS_no UV_T6, Citreitalea,0.004834838730943495,0.0068461070911384585
NA,NA,negative_c,negative_c_, Massilia,7.870759795794113e-4,9.314876820756405e-4
UV,T1,PP,PP_UV_T1, Sphingomonas,0.004607160294327563,0.0013563774758156744
no UV,T6,PS,PS_no UV_T6, Erythrobacter,0.028161042505048608,0.017991615399323403
UV,T1,PE,PE_UV_T1, Staphylococcus,0.01355998802685376,0.010158260047964506
no UV,T6,PET,PET_no UV_T6, Fluviicola,0.008773554030049015,0.004351419882809671
NA,NA,negative_c,negative_c_, Delftia,0.0031703755201690814,0.0032104114992640848
NA,NA,negative_c,negative_c_, Lewinella,0.0067548249741867916,0.008780136380986408
NA,NA,negative_c,negative_c_, Brochothrix,3.3812502057691565e-4,5.771134360706743e-4
no UV,T6,PET,PET_no UV_T6, Aureispira,0.004442020618000023,0.0032061869333443946
no UV,T6,Nylon,Nylon_no UV_T6, Clostridium sensu stricto 1,0.0013689849585607203,0.001905734083519214
UV,T6,PS,PS_UV_T6, Gilvibacter,0.002391315531052325,0.002284849245871356
no UV,T6,PP,PP_no UV_T6, Aquibacter,0.007629035749493311,0.0016705005525243532
UV,T1,PP,PP_UV_T1, Rubritalea,0.005931638579453489,0.008391712343543854
no UV,T6,PE,PE_no UV_T6, Pseudahrensia,0.017789582872364446,0.012754931665405835
no UV,T6,Nylon,Nylon_no UV_T6, Aureicoccus,0.00747093298934203,0.006598722438981441
no UV,T1,PE,PE_no UV_T1, Pseudomonas,0.004340464814301581,0.005262210351821129
UV,T6,PE,PE_UV_T6, Arenicella,0.015419206329471361,0.004108805016884822
no UV,T6,PE,PE_no UV_T6, Sva0996 marine group,0.011646641536415162,0.00824480897422774
UV,T1,PP,PP_UV_T1, Leuconostoc,0.0015270300053524765,0.0021674137702985216
UV,T6,PS,PS_UV_T6, Pseudahrensia,0.009130283497021009,0.005144130700555966
no UV,T6,PE,PE_no UV_T6, Aestuariivita,0.01093904542137835,0.007819173938876574
no UV,T6,PS,PS_no UV_T6, Saprospira,0.009384213629854267,0.01329039131506448
NA,NA,negative_c,negative_c_, Fluviicola,0.0021613880914109645,0.003586363785217096
UV,T6,PET,PET_UV_T6, Chroococcidiopsis PCC-6712,0.004493847946247706,0.005554165154965343
UV,T6,PE,PE_UV_T6, Thalassobius,0.012345522377972144,0.005311661709973161
no UV,T1,PP,PP_no UV_T1, Prevotella,0.005785264590777607,0.008215904197682047
